stt,question,ground_truth_answer,type,ragkg_answer,retrieved_articles,num_retrieved
II.22,So sánh căn cứ lập quy hoạch cấp huyện giữa 2 luật?,"LĐĐ 2024 yêu cầu phải căn cứ vào **quy hoạch tỉnh** và **quy hoạch sử dụng đất cấp tỉnh**, chặt chẽ hơn LĐĐ 2013\. **(So sánh Đ40 LĐĐ 2013 & Đ66 LĐĐ 2024\)**",So sánh,"1. **Phân tích câu hỏi:** Câu hỏi yêu cầu so sánh căn cứ lập quy hoạch sử dụng đất cấp huyện giữa Luật Đất đai 2024 và Luật Đất đai 2013.
2. **Rà soát ngữ cảnh:**
    *   **Luật Đất đai 2024:** Căn cứ lập quy hoạch sử dụng đất cấp huyện được quy định tại Điều 66.1.
    *   **Luật Đất đai 2013:** Không có điều khoản nào trong ngữ cảnh được cung cấp đề cập đến căn cứ lập quy hoạch sử dụng đất cấp huyện. Tuy nhiên, Điều 35 đề cập đến nguyên tắc lập quy hoạch, kế hoạch sử dụng đất.
3. **Tổng hợp câu trả lời:**

Dựa trên ngữ cảnh được cung cấp, Luật Đất đai 2024 quy định cụ thể về căn cứ lập quy hoạch sử dụng đất cấp huyện tại Điều 66.1. Trong khi đó, Luật Đất đai 2013 (trong phạm vi ngữ cảnh này) không có điều khoản nào liệt kê các căn cứ này một cách trực tiếp, nhưng Điều 35 đề cập đến các nguyên tắc chung khi lập quy hoạch, kế hoạch sử dụng đất.

Cụ thể, căn cứ lập quy hoạch sử dụng đất cấp huyện theo Luật Đất đai 2024 bao gồm:

*   Quy hoạch tỉnh, quy hoạch sử dụng đất cấp tỉnh; quy hoạch đô thị của thành phố trực thuộc Trung ương đối với trường hợp không lập quy hoạch sử dụng đất cấp tỉnh [Căn cứ: Điều 66.1a Luật Đất đai 2024].
*   Các quy hoạch có tính chất kỹ thuật, chuyên ngành [Căn cứ: Điều 66.1b Luật Đất đai 2024].
*   Kế hoạch phát triển kinh tế - xã hội cấp huyện [Căn cứ: Điều 66.1c Luật Đất đai 2024].
*   Điều kiện tự nhiên, kinh tế, xã hội của đơn vị hành chính cấp huyện [Căn cứ: Điều 66.1d Luật Đất đai 2024].
*   Hiện trạng sử dụng đất, biến động đất đai, tiềm năng đất đai và kết quả thực hiện quy hoạch sử dụng đất thời kỳ trước của cấp huyện [Căn cứ: Điều 66.1đ Luật Đất đai 2024].
*   Nhu cầu, khả năng sử dụng đất của các ngành, lĩnh vực, Ủy ban nhân dân cấp xã; đối với việc xác định nhu cầu sử dụng đất ở, đất khu đô thị, đất khu dân cư nông thôn được xác định trên cơ sở dự báo dân số, điều kiện hạ tầng, cảnh quan, môi trường theo quy định của pháp luật về xây dựng [Căn cứ: Điều 66.1e Luật Đất đai 2024].
*   Định mức sử dụng đất, tiến bộ khoa học và công nghệ có liên quan đến việc sử dụng đất [Căn cứ: Điều 66.1g Luật Đất đai 2024].

Các nguyên tắc lập quy hoạch, kế hoạch sử dụng đất được nêu trong Điều 35 Luật Đất đai 2013 (trong phạm vi ngữ cảnh này) bao gồm:

*   Phù hợp với chiến lược, quy hoạch tổng thể, kế hoạch phát triển kinh tế - xã hội, quốc phòng, an ninh [Căn cứ: Điều 35.1 Luật Đất đai 2013].
*   Được lập từ tổng thể đến chi tiết; quy hoạch sử dụng đất của cấp dưới phải phù hợp với quy hoạch sử dụng đất của cấp trên; kế hoạch sử dụng đất phải phù hợp với quy hoạch sử dụng đất đã được cơ quan nhà nước có thẩm quyền phê duyệt. Quy hoạch sử dụng đất cấp quốc gia phải bảo đảm tính đặc thù, liên kết của các vùng kinh tế - xã hội; quy hoạch sử dụng đất cấp huyện phải thể hiện nội dung sử dụng đất của cấp xã [Căn cứ: Điều 35.2 Luật Đất đai 2013].
*   Sử dụng đất tiết kiệm và có hiệu quả [Căn cứ: Điều 35.3 Luật Đất đai 2013].
*   Khai thác hợp lý tài nguyên thiên nhiên và bảo vệ môi trường; thích ứng với biến đổi khí hậu [Căn cứ: Điều 35.4 Luật Đất đai 2013].
*   Bảo vệ, tôn tạo di tích lịch sử - văn hóa, danh lam thắng cảnh [Căn cứ: Điều 35.5 Luật Đất đai 2013].
*   Dân chủ và công khai [Căn cứ: Điều 35.6 Luật Đất đai 2013].
*   Bảo đảm ưu tiên quỹ đất cho mục đích quốc phòng, an ninh, phục vụ lợi ích quốc gia, công cộng, an ninh lương thực và bảo vệ môi trường [Căn cứ: Điều 35.7 Luật Đất đai 2013].
*   Quy hoạch, kế hoạch của ngành, lĩnh vực, địa phương có sử dụng đất phải bảo đảm phù hợp với quy hoạch, kế hoạch sử dụng đất đã được cơ quan nhà nước có thẩm quyền quyết định, phê duyệt [Căn cứ: Điều 35.8 Luật Đất đai 2013].
",Điều 66.0 Luật Đất đai 2024; Điều 60.0 Luật Đất đai 2024; Điều 69.0 Luật Đất đai 2024; Điều 35.0 Luật Đất đai 2013; Điều 68.0 Luật Đất đai 2024,5
II.23,Việc điều chỉnh quy hoạch sử dụng đất có được phép làm thay đổi mục tiêu của quy hoạch không?,"**Không**. Việc điều chỉnh không được làm thay đổi mục tiêu của quy hoạch. **(K1c, Đ73, LĐĐ 2024\)**",Hỏi-Đáp,"1. **Phân tích câu hỏi:** Câu hỏi đặt ra là liệu việc điều chỉnh quy hoạch sử dụng đất có được phép làm thay đổi mục tiêu ban đầu của quy hoạch đó hay không.

2. **Rà soát ngữ cảnh:** Tìm kiếm trong các điều luật được cung cấp các thông tin liên quan đến việc điều chỉnh quy hoạch sử dụng đất và các nguyên tắc liên quan. Điều 73.0 Luật Đất đai 2024 đề cập đến các nguyên tắc điều chỉnh quy hoạch, kế hoạch sử dụng đất.

3. **Tổng hợp câu trả lời:**
   Việc điều chỉnh quy hoạch, kế hoạch sử dụng đất không được làm thay đổi mục tiêu của quy hoạch, kế hoạch sử dụng đất. Cụ thể: ""Việc điều chỉnh quy hoạch, kế hoạch sử dụng đất không làm thay đổi mục tiêu của quy hoạch, kế hoạch sử dụng đất"" [Căn cứ: Điều 73.0 Luật Đất đai 2024].
",Điều 46.0 Luật Đất đai 2013; Điều 73.0 Luật Đất đai 2024; Điều 60.0 Luật Đất đai 2024; Điều 198.0 Luật Đất đai 2024; Điều 207.0 Luật Đất đai 2024,5
II.24,"Theo LĐĐ 2024, UBND cấp xã có thẩm quyền giao đất, cho thuê đất không?","**Có**, nhưng chỉ cho thuê đất thuộc quỹ đất nông nghiệp sử dụng vào mục đích công ích của xã. **(K3, Đ123, LĐĐ 2024\)**",Tình huống,"1. **Phân tích câu hỏi:**
    *   Câu hỏi yêu cầu xác định thẩm quyền giao đất, cho thuê đất của UBND cấp xã theo Luật Đất đai 2024.

2. **Rà soát ngữ cảnh:**
    *   Điều 123.0 Luật Đất đai 2024 quy định về thẩm quyền giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất. Khoản 3 của điều này đề cập đến thẩm quyền của UBND cấp xã.

3. **Tổng hợp câu trả lời:**
    *   Theo Luật Đất đai 2024, UBND cấp xã có thẩm quyền cho thuê đất thuộc quỹ đất nông nghiệp sử dụng vào mục đích công ích của xã, phường, thị trấn. Cụ thể, theo quy định: ""Ủy ban nhân dân cấp xã cho thuê đất thuộc quỹ đất nông nghiệp sử dụng vào mục đích công ích của xã, phường, thị trấn."" [Căn cứ: Điều 123.0, Khoản 3, Luật Đất đai 2024].
",Điều 59.0 Luật Đất đai 2013; Điều 123.0 Luật Đất đai 2024; Điều 116.0 Luật Đất đai 2024; Điều 241.0 Luật Đất đai 2024; Điều 122.0 Luật Đất đai 2024,5
II.25,Kế hoạch sử dụng đất hàng năm cấp huyện được công bố khi nào?,"Sau khi được **UBND cấp tỉnh phê duyệt**. **(K2, Đ75, LĐĐ 2024\)**",Thủ tục,"1. **Phân tích câu hỏi:** Câu hỏi yêu cầu xác định thời điểm công bố kế hoạch sử dụng đất hằng năm cấp huyện.
2. **Rà soát ngữ cảnh:** Tìm kiếm thông tin về thời điểm công bố kế hoạch sử dụng đất hằng năm cấp huyện trong các điều luật được cung cấp. Điều 75 Luật Đất đai 2024 có đề cập đến vấn đề này.
3. **Tổng hợp câu trả lời:**
   *   Kế hoạch sử dụng đất hằng năm cấp huyện phải được công bố công khai chậm nhất là 15 ngày kể từ ngày được cơ quan nhà nước có thẩm quyền quyết định, phê duyệt, theo quy định: ""Chậm nhất là 15 ngày kể từ ngày được cơ quan nhà nước có thẩm quyền quyết định, phê duyệt thì quy hoạch, kế hoạch sử dụng đất phải được công bố công khai"" [Căn cứ: Điều 75.4.a Luật Đất đai 2024].
   *   Kế hoạch sử dụng đất hằng năm cấp huyện phải được công khai trong suốt kỳ kế hoạch sử dụng đất, theo quy định: ""Quy hoạch, kế hoạch sử dụng đất phải được công khai trong suốt kỳ quy hoạch, kế hoạch sử dụng đất"" [Căn cứ: Điều 75.4.b Luật Đất đai 2024].
",Điều 67.0 Luật Đất đai 2024; Điều 75.0 Luật Đất đai 2024; Điều 48.0 Luật Đất đai 2013; Điều 37.0 Luật Đất đai 2013; Điều 76.0 Luật Đất đai 2024,5
II.26,"Theo LĐĐ 2013, ai có thẩm quyền thu hồi đất nông nghiệp thuộc quỹ đất công ích của xã?","**UBND cấp huyện**. **(K2b, Đ66, LĐĐ 2013\)**",Hỏi-Đáp,"1. **Phân tích câu hỏi:** Câu hỏi yêu cầu xác định cơ quan có thẩm quyền thu hồi đất nông nghiệp thuộc quỹ đất công ích của xã theo Luật Đất đai 2013.

2. **Rà soát ngữ cảnh:** Tìm kiếm thông tin liên quan đến thẩm quyền thu hồi đất, đặc biệt là đối với đất nông nghiệp thuộc quỹ đất công ích của xã trong Luật Đất đai 2013.

3. **Tổng hợp câu trả lời:**

Ủy ban nhân dân cấp huyện có thẩm quyền thu hồi đất nông nghiệp thuộc quỹ đất công ích của xã, phường, thị trấn. Căn cứ theo quy định: ""Ủy ban nhân dân cấp huyện quyết định thu hồi đất trong các trường hợp sau đây: b) Thu hồi đất nông nghiệp thuộc quỹ đất công ích của xã, phường, thị trấn."" [Căn cứ: Điều 66.0 Luật Đất đai 2013].
",Điều 83.0 Luật Đất đai 2024; Điều 66.0 Luật Đất đai 2013; Điều 193.0 Luật Đất đai 2013; Điều 178.0 Luật Đất đai 2024; Điều 77.0 Luật Đất đai 2013,5
II.27,Cơ quan nào có trách nhiệm quản lý đất chưa sử dụng tại các đảo chưa có người ở theo LĐĐ 2013?,"**UBND cấp tỉnh**. **(K2, Đ164, LĐĐ 2013\)**",Hỏi-Đáp,"1. **Phân tích câu hỏi:**
    *   Câu hỏi yêu cầu xác định cơ quan có trách nhiệm quản lý đất chưa sử dụng tại các đảo chưa có người ở.
    *   Câu hỏi này áp dụng theo Luật Đất đai 2013.

2. **Rà soát ngữ cảnh:**
    *   Điều 164.0 Luật Đất đai 2013 quy định về quản lý đất chưa sử dụng.
    *   Khoản 2 Điều 164.0 Luật Đất đai 2013 nêu rõ về trách nhiệm quản lý đất chưa sử dụng tại các đảo chưa có người ở.

3. **Tổng hợp câu trả lời:**

Ủy ban nhân dân cấp tỉnh có trách nhiệm quản lý đất chưa sử dụng tại các đảo chưa có người ở theo Luật Đất đai 2013. ""...Ủy ban nhân dân cấp tỉnh quản lý đất chưa sử dụng tại các đảo chưa có người ở."" [Căn cứ: Điều 164.0 Luật Đất đai 2013]
",Điều 164.0 Luật Đất đai 2013; Điều 221.0 Luật Đất đai 2024; Điều 165.0 Luật Đất đai 2013; Điều 217.0 Luật Đất đai 2024; Điều 22.0 Luật Đất đai 2024,5
II.28,Thời gian lấy ý kiến cho kế hoạch sử dụng đất hằng năm cấp huyện theo LĐĐ 2024 là bao lâu?,"Là **20 ngày**. **(K3c, Đ70, LĐĐ 2024\)**",Thủ tục,"1. **Phân tích câu hỏi:** Câu hỏi yêu cầu xác định thời gian lấy ý kiến về kế hoạch sử dụng đất hằng năm cấp huyện theo Luật Đất đai 2024.
2. **Rà soát ngữ cảnh:** Tìm kiếm thông tin về ""thời gian lấy ý kiến"" và ""kế hoạch sử dụng đất hằng năm cấp huyện"" trong các điều luật được cung cấp. Điều 70.3.c Luật Đất đai 2024 có đề cập đến vấn đề này.
3. **Tổng hợp câu trả lời:** Thời gian lấy ý kiến về kế hoạch sử dụng đất hằng năm cấp huyện là 20 ngày.
    *   ""...Thời gian lấy ý kiến về quy hoạch sử dụng đất cấp huyện là 30 ngày, kế hoạch sử dụng đất hằng năm cấp huyện là **20 ngày** kể từ ngày công khai thông tin về nội dung lấy ý kiến."" [Căn cứ: Điều 70.3.c Luật Đất đai 2024]
",Điều 70.0 Luật Đất đai 2024; Điều 62.0 Luật Đất đai 2024; Điều 43.0 Luật Đất đai 2013; Điều 67.0 Luật Đất đai 2024; Điều 127.0 Luật Đất đai 2013,5
II.29,"Theo LĐĐ 2024, việc điều chỉnh kế hoạch sử dụng đất được thực hiện khi nào?","Khi có sự điều chỉnh quy hoạch sử dụng đất hoặc có sự thay đổi về khả năng thực hiện kế hoạch. **(K7, Đ73, LĐĐ 2024\)**",Hỏi-Đáp,"1. **Phân tích câu hỏi:**
    *   Câu hỏi yêu cầu xác định các trường hợp điều chỉnh kế hoạch sử dụng đất theo Luật Đất đai 2024.

2. **Rà soát ngữ cảnh:**
    *   Tìm kiếm các điều khoản trong Luật Đất đai 2024 liên quan đến ""điều chỉnh kế hoạch sử dụng đất"".
    *   Điều 73.0 Luật Đất đai 2024 có đề cập đến vấn đề này.

3. **Tổng hợp câu trả lời:**
    *   Việc điều chỉnh kế hoạch sử dụng đất được thực hiện khi có sự điều chỉnh quy hoạch sử dụng đất, quy hoạch đô thị hoặc có sự thay đổi về khả năng thực hiện kế hoạch sử dụng đất.

**Câu trả lời:**
Việc điều chỉnh kế hoạch sử dụng đất được thực hiện khi có sự điều chỉnh quy hoạch sử dụng đất, quy hoạch đô thị hoặc có sự thay đổi về khả năng thực hiện kế hoạch sử dụng đất [Căn cứ: Khoản 7 Điều 73.0 Luật Đất đai 2024].
",Điều 252.0 Luật Đất đai 2024; Điều 46.0 Luật Đất đai 2013; Điều 207.0 Luật Đất đai 2024; Điều 73.0 Luật Đất đai 2024; Điều 49.0 Luật Đất đai 2013,5
II.30,Thẩm quyền cấp GCN cho người nhận thừa kế quyền sử dụng đất theo LĐĐ 2024 thuộc về ai?,"**Tổ chức đăng ký đất đai** hoặc **Chi nhánh tổ chức đăng ký đất đai**. **(K2, Đ136, LĐĐ 2024\)**",Hỏi-Đáp,"1. **Phân tích câu hỏi:**
    *   Câu hỏi: Ai có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất (GCN) cho người nhận thừa kế quyền sử dụng đất theo Luật Đất đai 2024?
    *   Chủ thể: Người nhận thừa kế quyền sử dụng đất.
    *   Điều kiện: Theo quy định của Luật Đất đai 2024.

2. **Rà soát ngữ cảnh:**
    *   Điều 136 Luật Đất đai 2024 quy định về thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất.
    *   Điều 4 Luật Đất đai 2024 quy định về người sử dụng đất.
    *   Cần xác định người nhận thừa kế quyền sử dụng đất thuộc đối tượng nào được quy định tại Điều 4 Luật Đất đai 2024 để xác định thẩm quyền cấp GCN.

3. **Tổng hợp câu trả lời:**
    *   Việc xác định thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất cho người nhận thừa kế quyền sử dụng đất theo Luật Đất đai 2024 phụ thuộc vào việc người đó thuộc đối tượng nào được quy định tại Điều 4 của Luật này.
    *   Cụ thể:
        *   Nếu người nhận thừa kế thuộc các khoản 1, 2, 5, 6 và 7 Điều 4 của Luật Đất đai 2024 thì Ủy ban nhân dân cấp tỉnh cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất hoặc Ủy ban nhân dân cấp tỉnh được ủy quyền cho cơ quan có chức năng quản lý đất đai cùng cấp cấp Giấy chứng nhận. ""[...] a) Ủy ban nhân dân cấp tỉnh cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất cho người sử dụng đất, chủ sở hữu tài sản gắn liền với đất quy định tại các khoản 1, 2, 5, 6 và 7 Điều 4 của Luật này . Ủy ban nhân dân cấp tỉnh được ủy quyền cho cơ quan có chức năng quản lý đất đai cùng cấp cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất đối với trường hợp quy định tại khoản này;"" [Căn cứ: Điều 136.1.a Luật Đất đai 2024]
        *   Nếu người nhận thừa kế thuộc khoản 3 và khoản 4 Điều 4 của Luật Đất đai 2024 thì Ủy ban nhân dân cấp huyện cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất. ""[...] b) Ủy ban nhân dân cấp huyện cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất cho người sử dụng đất, chủ sở hữu tài sản gắn liền với đất quy định tại khoản 3 và khoản 4 Điều 4 của Luật này ."" [Căn cứ: Điều 136.1.b Luật Đất đai 2024]
    *   Ngoài ra, theo Khoản 2 Điều 136 Luật Đất đai 2024, thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất, xác nhận thay đổi đối với trường hợp đăng ký biến động được quy định như sau:
        *   Tổ chức đăng ký đất đai thực hiện cho người sử dụng đất, chủ sở hữu tài sản gắn liền với đất là tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, tổ chức nước ngoài có chức năng ngoại giao, tổ chức kinh tế có vốn đầu tư nước ngoài; cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất cho chủ sở hữu tài sản gắn liền với đất là tổ chức nước ngoài, cá nhân nước ngoài; ""[...] a) Tổ chức đăng ký đất đai thực hiện cho người sử dụng đất, chủ sở hữu tài sản gắn liền với đất là tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, tổ chức nước ngoài có chức năng ngoại giao, tổ chức kinh tế có vốn đầu tư nước ngoài; cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất cho chủ sở hữu tài sản gắn liền với đất là tổ chức nước ngoài, cá nhân nước ngoài;"" [Căn cứ: Điều 136.2.a Luật Đất đai 2024]
        *   Chi nhánh của tổ chức đăng ký đất đai hoặc tổ chức đăng ký đất đai thực hiện cho người sử dụng đất, chủ sở hữu tài sản gắn liền với đất là cá nhân, cộng đồng dân cư, người gốc Việt Nam định cư ở nước ngoài; ""[...] b) Chi nhánh của tổ chức đăng ký đất đai hoặc tổ chức đăng ký đất đai thực hiện cho người sử dụng đất, chủ sở hữu tài sản gắn liền với đất là cá nhân, cộng đồng dân cư, người gốc Việt Nam định cư ở nước ngoài;"" [Căn cứ: Điều 136.2.b Luật Đất đai 2024]
        *   Tổ chức đăng ký đất đai, chi nhánh của tổ chức đăng ký đất đai được sử dụng con dấu của mình để thực hiện cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất hoặc xác nhận thay đổi vào giấy chứng nhận đã cấp. ""[...] c) Tổ chức đăng ký đất đai, chi nhánh của tổ chức đăng ký đất đai được sử dụng con dấu của mình để thực hiện cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất hoặc xác nhận thay đổi vào giấy chứng nhận đã cấp."" [Căn cứ: Điều 136.2.c Luật Đất đai 2024]
",Điều 105.0 Luật Đất đai 2013; Điều 136.0 Luật Đất đai 2024; Điều 140.0 Luật Đất đai 2024; Điều 203.0 Luật Đất đai 2013; Điều 59.0 Luật Đất đai 2013,5
III.1,"Theo LĐĐ 2024, thu hồi đất để xây dựng Nhà ở xã hội có phải là thu hồi vì lợi ích quốc gia, công cộng không?","**Có**. Đây là một trong các trường hợp thu hồi đất vì lợi ích quốc gia, công cộng. (Điểm mới so với LĐĐ 2013). **(K21, Đ79, LĐĐ 2024\)**",So sánh,"1. **Phân tích câu hỏi:** Câu hỏi yêu cầu xác định, theo Luật Đất đai 2024, việc thu hồi đất để xây dựng nhà ở xã hội có được xem là thu hồi vì lợi ích quốc gia, công cộng hay không.
2. **Rà soát ngữ cảnh:**
    *   Điều 62 Luật Đất đai 2013 quy định về các trường hợp thu hồi đất để phát triển kinh tế - xã hội vì lợi ích quốc gia, công cộng.
    *   Khoản 3 Điều 62 Luật Đất đai 2013 liệt kê các dự án do Hội đồng nhân dân cấp tỉnh chấp thuận mà phải thu hồi đất, bao gồm dự án xây dựng nhà ở xã hội.
3. **Tổng hợp câu trả lời:**
    *   Theo Điều 62 Luật Đất đai 2013, việc thu hồi đất để xây dựng nhà ở xã hội thuộc trường hợp thu hồi đất để phát triển kinh tế - xã hội vì lợi ích quốc gia, công cộng, nếu dự án đó được Hội đồng nhân dân cấp tỉnh chấp thuận.
    *   Cụ thể: ""...Dự án xây dựng công trình phục vụ sinh hoạt chung của cộng đồng dân cư; dự án tái định cư, nhà ở cho sinh viên, **nhà ở xã hội**, nhà ở công vụ; xây dựng công trình của cơ sở tôn giáo; khu văn hóa, thể thao, vui chơi giải trí phục vụ công cộng; chợ; nghĩa trang, nghĩa địa, nhà tang lễ, nhà hỏa táng;"" [Căn cứ: Điểm c Khoản 3 Điều 62 Luật Đất đai 2013]
    *   Cần lưu ý rằng, việc thu hồi đất phải dựa trên các căn cứ được quy định tại Điều 63 Luật Đất đai 2013, bao gồm dự án thuộc các trường hợp thu hồi đất quy định tại Điều 62 của Luật này.
",Điều 102.0 Luật Đất đai 2024; Điều 62.0 Luật Đất đai 2013; Điều 108.0 Luật Đất đai 2024; Điều 63.0 Luật Đất đai 2013; Điều 16.0 Luật Đất đai 2013,5
III.2,Thời hạn thông báo thu hồi đất cho người có đất nông nghiệp theo LĐĐ 2024 là bao lâu?,"Chậm nhất là **90 ngày**. (Tương tự LĐĐ 2013). **(K1, Đ85, LĐĐ 2024\)**",Thủ tục,"1. **Phân tích câu hỏi:** Câu hỏi yêu cầu xác định thời hạn thông báo thu hồi đất nông nghiệp theo Luật Đất đai 2024.
2. **Rà soát ngữ cảnh:** Tìm kiếm thông tin về thời hạn thông báo thu hồi đất nông nghiệp trong các điều luật được cung cấp. Điều 85.0 Luật Đất đai 2024 có liên quan đến vấn đề này.
3. **Tổng hợp câu trả lời:**
Thời hạn thông báo thu hồi đất cho người có đất nông nghiệp theo Luật Đất đai 2024 là chậm nhất 90 ngày trước khi ban hành quyết định thu hồi đất. Căn cứ theo quy định: ""Trước khi ban hành quyết định thu hồi đất, cơ quan nhà nước có thẩm quyền phải gửi văn bản thông báo thu hồi đất cho người có đất thu hồi... chậm nhất là 90 ngày đối với đất nông nghiệp..."" [Căn cứ: Điều 85.0 Luật Đất đai 2024].
",Điều 67.0 Luật Đất đai 2013; Điều 85.0 Luật Đất đai 2024; Điều 126.0 Luật Đất đai 2013; Điều 258.0 Luật Đất đai 2024; Điều 99.0 Luật Đất đai 2024,5
III.3,"Cá nhân thuê đất trả tiền hằng năm để sản xuất nông nghiệp, khi bị thu hồi đất có được bồi thường về đất không?","**Không** được bồi thường về đất. Được bồi thường chi phí đầu tư vào đất còn lại. (Tương tự LĐĐ 2013). **(K1c, Đ107, LĐĐ 2024\)**",Tình huống,"1. **Phân tích câu hỏi:** Câu hỏi đặt ra vấn đề về việc bồi thường về đất cho cá nhân thuê đất trả tiền thuê đất hàng năm để sản xuất nông nghiệp khi Nhà nước thu hồi đất.

2. **Rà soát ngữ cảnh:**
    *   **Điều 37 Luật Đất đai 2024:** Quy định về quyền và nghĩa vụ của cá nhân sử dụng đất, bao gồm cả trường hợp thuê đất trả tiền thuê đất hàng năm.
    *   **Điều 99 Luật Đất đai 2024:** Quy định về bồi thường về đất khi Nhà nước thu hồi đất phi nông nghiệp không phải là đất ở của hộ gia đình, cá nhân.
    *   **Điều 80 Luật Đất đai 2013:** Quy định về bồi thường về đất, chi phí đầu tư vào đất còn lại khi Nhà nước thu hồi đất phi nông nghiệp không phải là đất ở của hộ gia đình, cá nhân.

3. **Tổng hợp câu trả lời:**

Cá nhân thuê đất trả tiền thuê đất hằng năm để sản xuất nông nghiệp khi bị thu hồi đất sẽ được bồi thường theo quy định sau:

*   Căn cứ theo Khoản 2 Điều 80 Luật Đất đai 2013, ""Hộ gia đình, cá nhân đang sử dụng đất phi nông nghiệp không phải là đất ở được Nhà nước cho thuê đất thu tiền thuê đất hàng năm; cho thuê đất trả tiền thuê đất một lần cho cả thời gian thuê nhưng được miễn tiền thuê đất, khi Nhà nước thu hồi đất thì không được bồi thường về đất nhưng được bồi thường chi phí đầu tư vào đất còn lại, trừ trường hợp hộ gia đình, cá nhân sử dụng đất do thực hiện chính sách đối với người có công với cách mạng.""
*   Căn cứ theo Điều 99 Luật Đất đai 2024, quy định về bồi thường về đất khi Nhà nước thu hồi đất phi nông nghiệp không phải là đất ở của hộ gia đình, cá nhân, không đề cập đến trường hợp cá nhân thuê đất trả tiền thuê đất hàng năm.
*   Căn cứ theo Khoản 2 Điều 37 Luật Đất đai 2024, quy định về quyền và nghĩa vụ của cá nhân được Nhà nước cho thuê đất thu tiền thuê đất hằng năm không đề cập đến việc bồi thường về đất khi nhà nước thu hồi đất.

Như vậy, theo các quy định trên, cá nhân thuê đất trả tiền thuê đất hàng năm để sản xuất nông nghiệp khi bị thu hồi đất thì không được bồi thường về đất mà được bồi thường chi phí đầu tư vào đất còn lại.
",Điều 175.0 Luật Đất đai 2013; Điều 80.0 Luật Đất đai 2013; Điều 30.0 Luật Đất đai 2024; Điều 37.0 Luật Đất đai 2024; Điều 99.0 Luật Đất đai 2024,5
III.4,So sánh thời điểm tính giá đất cụ thể để bồi thường giữa 2 luật?,LĐĐ 2024: tại thời điểm **phê duyệt phương án bồi thường**. LĐĐ 2013: tại thời điểm **có quyết định thu hồi đất**. **(So sánh Đ114 LĐĐ 2013 & Đ91 LĐĐ 2024\)**,So sánh,"Dựa trên các điều luật được cung cấp, tôi không tìm thấy thông tin chính xác để trả lời cho câu hỏi này.
",Điều 108.0 Luật Đất đai 2013; Điều 90.0 Luật Đất đai 2013; Điều 92.0 Luật Đất đai 2024; Điều 74.0 Luật Đất đai 2013; Điều 99.0 Luật Đất đai 2024,5
III.5,"Theo LĐĐ 2013, hộ gia đình bị thu hồi đất ở không đủ điều kiện bồi thường, không còn chỗ ở khác thì xử lý ra sao?","Nhà nước bán, cho thuê, cho thuê mua nhà ở hoặc giao đất ở có thu tiền sử dụng đất. **(K2, Đ79, LĐĐ 2013\)**",Tình huống,"Dựa trên các điều luật được cung cấp, tôi không tìm thấy thông tin chính xác để trả lời cho câu hỏi này.
",Điều 83.0 Luật Đất đai 2013; Điều 96.0 Luật Đất đai 2024; Điều 99.0 Luật Đất đai 2024; Điều 98.0 Luật Đất đai 2024; Điều 91.0 Luật Đất đai 2024,5
