id:ID,:LABEL,properties,noi_dung,name
chuthe_botruongbotaichinh,Chuthe,{'name': 'Bộ trưởng Bộ Tài chính'},,
chuthe_botruongbotainguon,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotainguonvamoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotainguyenvamt,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotainh,Chuthe,{'name': 'Bộ trưởng Bộ Tài chính'},,
chuthe_botruongbotainnguyenvamoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotainuyenmoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotainuyenvamoi,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotainuyenvamoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotnguyenvamoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotnmt,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbotnvmt,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botruongboyte,Chuthe,{'name': 'Bộ trưởng Bộ Y tế'},,
chuthe_caccosokhaccuatongiao,Chuthe,{'name': 'các cơ sở khác của tôn giáo'},,
chuthe_cacotochucthanhvien,Chuthe,{'name': 'các tổ chức thành viên của Mặt trận'},,
chuthe_cactochucchinh_trixahoi,Chuthe,{'name': 'các tổ chức chính trị - xã hội'},,
chuthe_cactochucthanhvien,Chuthe,{'name': 'các tổ chức thành viên của Mặt trận'},,
chuthe_canbocongchucvienchuc,Chuthe,"{'name': 'Cán bộ, công chức, viên chức'}",,
chuthe_cangvuhangkhong,Chuthe,{'name': 'Cảng vụ hàng không'},,
chuthe_cangvuhangkhongsanbay,Chuthe,{'name': 'Cảng vụ hàng không sân bay'},,
chuthe_canhan,Chuthe,{'name': 'Cá nhân'},,
chuthe_canhancutruhople,Chuthe,{'name': 'Cá nhân cư trú hợp pháp trên địa bàn cấp xã nơi có rừng phòng hộ'},,
chuthe_canhanlanguoidantocthieuso,Chuthe,{'name': 'Cá nhân là người dân tộc thiểu số'},,
chuthe_canhannguoidantoc,Chuthe,{'name': 'Cá nhân là người dân tộc thiểu số'},,
chuthe_canhannguoidantocthieuso,Chuthe,{'name': 'cá nhân là người dân tộc thiểu số'},,
chuthe_canhannguoivietnamdinhcuonuocngoai,Chuthe,"{'name': 'Cá nhân, người Việt Nam định cư ở nước ngoài'}",,
chuthe_canhannuocngoai,Chuthe,{'name': 'cá nhân nước ngoài'},,
chuthe_canhansudungdat,Chuthe,{'name': 'Cá nhân sử dụng đất'},,
chuthe_canhanthuongtru,Chuthe,{'name': 'Cá nhân thường trú'},,
chuthe_caphuyen,Chuthe,{'name': 'cấp huyện'},,
chuthe_captinh,Chuthe,{'name': 'cấp tỉnh'},,
chuthe_capxa,Chuthe,{'name': 'cấp xã'},,
chuthe_chinhphu,Chuthe,{'name': 'Chính phủ'},,
chuthe_chinhquyen_dia_phuong,Chuthe,{'name': 'Chính quyền địa phương'},,
chuthe_chinphu,Chuthe,{'name': 'Chính phủ'},,
chuthe_chu_tichubndcaptinh,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp tỉnh'},,
chuthe_chua,Chuthe,{'name': 'chùa'},,
chuthe_chudautu,Chuthe,{'name': 'Chủ đầu tư'},,
chuthe_chudautuxaydungkdcktht,Chuthe,{'name': 'Chủ đầu tư xây dựng kinh doanh kết cấu hạ tầng'},,
chuthe_chuhogiadinh,Chuthe,{'name': 'Chủ hộ gia đình'},,
chuthe_chunhasohuu,Chuthe,{'name': 'Chủ sở hữu tài sản gắn liền với đất'},,
chuthe_chuongtrinhdautu,Chuthe,{'name': 'Chủ đầu tư'},,
chuthe_churung,Chuthe,{'name': 'Chủ rừng'},,
chuthe_chuso_huu,Chuthe,{'name': 'Chủ sở hữu'},,
chuthe_chusohuu,Chuthe,{'name': 'Chủ sở hữu'},,
chuthe_chusohuutaisan,Chuthe,{'name': 'Chủ sở hữu tài sản'},,
chuthe_chusohuutaisanganlienvoidat,Chuthe,{'name': 'Chủ sở hữu tài sản gắn liền với đất'},,
chuthe_chusohuutaisanganlienvoidattrungdung,Chuthe,{'name': 'Chủ sở hữu tài sản gắn liền với đất trưng dụng'},,
chuthe_chusohuutaisangganlienvoidat,Chuthe,{'name': 'chủ sở hữu tài sản gắn liền với đất'},,
chuthe_chutich_ubnd_caphuyen,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp huyện'},,
chuthe_chutich_ubnd_captinh,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp tỉnh'},,
chuthe_chutichhuyen,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp huyện'},,
chuthe_chutichtinh,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp tỉnh'},,
chuthe_chutichubndancapxa,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp xã'},,
chuthe_chutichubndancungcap,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cùng cấp'},,
chuthe_chutichubndcaccap,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân các cấp'},,
chuthe_chutichubndcaphuyen,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp huyện'},,
chuthe_chutichubndcapptinh,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp tỉnh'},,
chuthe_chutichubndcaptinh,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp tỉnh'},,
chuthe_chutichubndcapxa,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp xã'},,
chuthe_chutichubndtinh,Chuthe,"{'name': 'Chủ tịch Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương'}",,
chuthe_chutichubndxaphuongthitran,Chuthe,"{'name': 'Chủ tịch Ủy ban nhân dân xã, phường, thị trấn'}",,
chuthe_chutichuybanndcaccap,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân các cấp'},,
chuthe_chutichuybanndcaphuyen,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp huyện'},,
chuthe_chutichuybanndcaptinh,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp tỉnh'},,
chuthe_chutichuybanndcapxa,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp xã'},,
chuthe_chutichuybannhandancaphuyen,Chuthe,{'name': 'Chủ tịch Ủy ban nhân dân cấp huyện'},,
chuthe_chuyengia,Chuthe,{'name': 'chuyên gia'},,
chuthe_cobantochuc,Chuthe,{'name': 'Cơ quan tổ chức'},,
chuthe_cochucnangngoaigiao,Chuthe,{'name': 'có chức năng ngoại giao'},,
chuthe_congan,Chuthe,{'name': 'lực lượng Công an nhân dân'},,
chuthe_congannd,Chuthe,{'name': 'Công an nhân dân'},,
chuthe_congchuc,Chuthe,{'name': 'Công chức'},,
chuthe_congchuccapxa,Chuthe,{'name': 'Công chức làm công tác địa chính cấp xã'},,
chuthe_congchucdiachinh,Chuthe,{'name': 'Công chức làm công tác địa chính'},,
chuthe_congchucdiachinhcapxa,Chuthe,{'name': 'Công chức làm công tác địa chính ở cấp xã'},,
chuthe_congchucdiachinhxaphuongthitran,Chuthe,"{'name': 'công chức địa chính xã, phường, thị trấn'}",,
chuthe_congchucdiaoccapxa,Chuthe,{'name': 'Công chức làm nhiệm vụ địa chính cấp xã'},,
chuthe_congchucquocphong,Chuthe,{'name': 'Công chức quốc phòng'},,
chuthe_congchucvienchuc,Chuthe,"{'name': 'công chức, viên chức'}",,
chuthe_congchucvienchucquanlydatdai,Chuthe,"{'name': 'công chức, viên chức thuộc cơ quan quản lý đất đai các cấp'}",,
chuthe_congdan,Chuthe,{'name': 'Công dân'},,
chuthe_congdong,Chuthe,{'name': 'Cộng đồng'},,
chuthe_congdong_dancu,Chuthe,{'name': 'Cộng đồng dân cư'},,
chuthe_congdongdancu,Chuthe,{'name': 'Cộng đồng dân cư'},,
chuthe_congdongdancucapxa,Chuthe,{'name': 'Cộng đồng dân cư trên địa bàn cấp xã nơi có rừng phòng hộ'},,
chuthe_congdongdancusudungdat,Chuthe,{'name': 'Cộng đồng dân cư sử dụng đất'},,
chuthe_conggdongdancu,Chuthe,{'name': 'cộng đồng dân cư'},,
chuthe_conghoaxahoichunghiavietnam,Chuthe,{'name': 'Cộng hòa xã hội chủ nghĩa Việt Nam'},,
chuthe_congnhanvienchucquocphong,Chuthe,{'name': 'Công nhân và viên chức quốc phòng'},,
chuthe_congtynonglamnghiep,Chuthe,"{'name': 'Công ty nông, lâm nghiệp'}",,
chuthe_cophanvietnam,Chuthe,{'name': 'Cơ quan Đảng Cộng sản Việt Nam'},,
chuthe_coquan,Chuthe,{'name': 'Cơ quan có thẩm quyền'},,
chuthe_coquan_co_tham_quyen,Chuthe,{'name': 'cơ quan có thẩm quyền'},,
chuthe_coquan_thi_hanh_an,Chuthe,{'name': 'cơ quan thi hành án'},,
chuthe_coquanauthomquyen,Chuthe,{'name': 'Cơ quan có thẩm quyền'},,
chuthe_coquanauthuyen,Chuthe,{'name': 'Cơ quan có thẩm quyền'},,
chuthe_coquanbothamquyen,Chuthe,{'name': 'cơ quan có thẩm quyền'},,
chuthe_coquancangbo,Chuthe,{'name': 'Cơ quan ngang Bộ'},,
chuthe_coquancochucnangquanlydatdai,Chuthe,{'name': 'Cơ quan có chức năng quản lý đất đai'},,
chuthe_coquancochucnangquanlydatdaicaphuyen,Chuthe,{'name': 'Cơ quan có chức năng quản lý đất đai ở địa phương (cấp huyện)'},,
chuthe_coquancochucnangquanlydatdaicaptinh,Chuthe,{'name': 'Cơ quan có chức năng quản lý đất đai ở địa phương (cấp tỉnh)'},,
chuthe_coquancongnangquanlydatdai,Chuthe,{'name': 'Cơ quan có chức năng quản lý đất đai'},,
chuthe_coquancothamquyen,Chuthe,{'name': 'Cơ quan có thẩm quyền'},,
chuthe_coquancthamquyen,Chuthe,{'name': 'Cơ quan có thẩm quyền'},,
chuthe_coquangiaiquyetthutuchanhchinh,Chuthe,{'name': 'Cơ quan giải quyết thủ tục hành chính'},,
chuthe_coquanhuuthamquyen,Chuthe,{'name': 'Cơ quan có thẩm quyền'},,
chuthe_coquanlydatdai,Chuthe,{'name': 'Cơ quan có chức năng quản lý đất đai'},,
chuthe_coquannhacothamquyen,Chuthe,{'name': 'Cơ quan nhà nước có thẩm quyền'},,
chuthe_coquannhancothamquyen,Chuthe,{'name': 'Cơ quan nhà nước có thẩm quyền'},,
chuthe_coquannhanhanuoc,Chuthe,{'name': 'cơ quan nhà nước'},,
chuthe_coquannhanuoc,Chuthe,{'name': 'Cơ quan nhà nước có thẩm quyền'},,
chuthe_coquannhanuoccothamquyen,Chuthe,{'name': 'Cơ quan nhà nước có thẩm quyền'},,
chuthe_coquanquanlydatdai,Chuthe,{'name': 'Cơ quan quản lý đất đai'},,
chuthe_coquanquanlydatdaicaccap,Chuthe,{'name': 'cơ quan quản lý đất đai các cấp'},,
chuthe_coquanquanlydatdaicaptinhcaphuyen,Chuthe,"{'name': 'Cơ quan quản lý đất đai cấp tỉnh, cấp huyện'}",,
chuthe_coquanquanlydatdaiodiaphuong,Chuthe,{'name': 'Cơ quan quản lý đất đai ở địa phương'},,
chuthe_coquanquanlydatdaiotrunguong,Chuthe,{'name': 'Cơ quan quản lý đất đai ở trung ương'},,
chuthe_coquanquanlynhanuocvedatdai,Chuthe,{'name': 'Cơ quan quản lý nhà nước về đất đai'},,
chuthe_coquantainuyenmoitruong,Chuthe,{'name': 'cơ quan tài nguyên và môi trường'},,
chuthe_coquantainuyenvamontruong,Chuthe,{'name': 'Cơ quan tài nguyên và môi trường'},,
chuthe_coquanthamquyen,Chuthe,{'name': 'cơ quan có thẩm quyền'},,
chuthe_coquanthamquyengiaiquyetthutuchinh,Chuthe,{'name': 'Cơ quan có thẩm quyền giải quyết thủ tục hành chính'},,
chuthe_coquanthihanhan,Chuthe,{'name': 'cơ quan thi hành án'},,
chuthe_coquantiepnhanhoso,Chuthe,{'name': 'Cơ quan tiếp nhận hồ sơ'},,
chuthe_coquantochuc,Chuthe,"{'name': 'Cơ quan, tổ chức'}",,
chuthe_coquantochuccanhanlienquan,Chuthe,"{'name': 'Cơ quan, tổ chức, cá nhân khác có liên quan'}",,
chuthe_coquantochuccolienquan,Chuthe,"{'name': 'cơ quan, tổ chức có liên quan'}",,
chuthe_coquantochuccotrachnhiemboithuong,Chuthe,"{'name': 'Cơ quan, tổ chức có trách nhiệm bồi thường'}",,
chuthe_coquantochuccuanhanuoc,Chuthe,"{'name': 'Cơ quan, tổ chức của Nhà nước'}",,
chuthe_coquantochucquanly,Chuthe,"{'name': 'Cơ quan, tổ chức trực tiếp quản lý công trình'}",,
chuthe_coquanuyban,Chuthe,"{'name': 'cơ quan, đơn vị, tổ chức thực hiện bồi thường'}",,
chuthe_coso_tongiao,Chuthe,{'name': 'Cơ sở tôn giáo'},,
chuthe_cosotongiao,Chuthe,{'name': 'Cơ sở tôn giáo'},,
chuthe_cosotoniao,Chuthe,{'name': 'cơ sở tôn giáo'},,
chuthe_cototonaogiao,Chuthe,{'name': 'Tổ chức nước ngoài có chức năng ngoại giao'},,
chuthe_covondautunuocngoai,Chuthe,{'name': 'có vốn đầu tư nước ngoài'},,
chuthe_cqqlddhuyen,Chuthe,"{'name': 'Cơ quan quản lý đất đai của huyện, quận, thị xã, thành phố thuộc tỉnh'}",,
chuthe_cqqlddtinh,Chuthe,"{'name': 'Cơ quan quản lý đất đai của tỉnh, thành phố trực thuộc trung ương'}",,
chuthe_dai_dien_ho_gia_dinh,Chuthe,{'name': 'đại diện hộ gia đình'},,
chuthe_dantocthieuso,Chuthe,{'name': 'dân tộc thiểu số'},,
chuthe_datnongnghiep,Chuthe,{'name': 'đất nông nghiệp'},,
chuthe_dato,Chuthe,{'name': 'đất ở'},,
chuthe_diaophuong,Chuthe,{'name': 'Địa phương'},,
chuthe_doanh_nghiep,Chuthe,{'name': 'Doanh nghiệp'},,
chuthe_doanhnghiep,Chuthe,{'name': 'Doanh nghiệp'},,
chuthe_doanhnghiep100vonnuocngoai,Chuthe,{'name': 'Doanh nghiệp 100% vốn nước ngoài'},,
chuthe_doanhnghiepconvondautunuocngoai,Chuthe,{'name': 'doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepcovondautunuocngoai,Chuthe,{'name': 'doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepkovondautunuocngoai,Chuthe,{'name': 'Doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepliendaoanh,Chuthe,{'name': 'doanh nghiệp liên doanh'},,
chuthe_doanhnghiepliendoanh,Chuthe,{'name': 'Doanh nghiệp liên doanh'},,
chuthe_doanhnghiepnhanuoc,Chuthe,{'name': 'doanh nghiệp nhà nước'},,
chuthe_doanhnghiepphattrienhatang,Chuthe,{'name': 'Doanh nghiệp phát triển hạ tầng'},,
chuthe_doanhnghiepphattrienkhucongnghecao,Chuthe,{'name': 'Doanh nghiệp phát triển khu công nghệ cao'},,
chuthe_doanhnghiepthuoclucluongvutrangnhandan,Chuthe,{'name': 'Doanh nghiệp thuộc lực lượng vũ trang nhân dân'},,
chuthe_doanhnghiepvocondautunuocngoai,Chuthe,{'name': 'Doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepvondautunuocngoai,Chuthe,{'name': 'Doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepvonnuocngoai,Chuthe,{'name': 'Doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepvonquantudautunuocngoai,Chuthe,{'name': 'Doanh nghiệp có vốn đầu tư nước ngoài'},,
chuthe_doanhnghiepvuanho,Chuthe,{'name': 'Doanh nghiệp vừa và nhỏ'},,
chuthe_doituongduocgiaoquanlydat,Chuthe,{'name': 'Đối tượng được giao quản lý đất'},,
chuthe_doituongkhac,Chuthe,"{'name': 'Các đối tượng khác có liên quan đến việc quản lý, sử dụng đất đai'}",,
chuthe_doituongsudungdat,Chuthe,{'name': 'Đối tượng sử dụng đất'},,
chuthe_doituongthuchienthutuchanhchinh,Chuthe,{'name': 'Đối tượng thực hiện thủ tục hành chính'},,
chuthe_dongbaodantoc,Chuthe,{'name': 'Đồng bào dân tộc thiểu số'},,
chuthe_dongbaodantocthieuso,Chuthe,{'name': 'đồng bào dân tộc thiểu số'},,
chuthe_donvi,Chuthe,{'name': 'Đơn vị'},,
chuthe_donvicongan,Chuthe,{'name': 'Đơn vị công an'},,
chuthe_donvihanhchinhcaphuyen,Chuthe,{'name': 'đơn vị hành chính cấp huyện'},,
chuthe_donvihanhchinhcaptinh,Chuthe,{'name': 'đơn vị hành chính cấp tỉnh'},,
chuthe_donvihanhchinhcapxa,Chuthe,{'name': 'đơn vị hành chính cấp xã'},,
chuthe_donvilucluongvutrang,Chuthe,{'name': 'đơn vị thuộc lực lượng vũ trang nhân dân'},,
chuthe_donvilucluongvutrangannd,Chuthe,{'name': 'đơn vị lực lượng vũ trang nhân dân'},,
chuthe_donviquandoi,Chuthe,{'name': 'Đơn vị quân đội'},,
chuthe_donvisungghieplap,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvisunghiepclap,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvisunghiepcong,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvisunghiepconglap,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvisunghieplapcong,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvisungiep,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvisungnghiepclap,Chuthe,{'name': 'Đơn vị sự nghiệp công lập'},,
chuthe_donvithuoclucluongvutrangnhandan,Chuthe,{'name': 'Đơn vị thuộc lực lượng vũ trang nhân dân'},,
chuthe_donvithuoelucluongvutranhnhandan,Chuthe,{'name': 'Đơn vị thuộc lực lượng vũ trang nhân dân'},,
chuthe_donvitochuc,Chuthe,"{'name': 'đơn vị, tổ chức'}",,
chuthe_donvitochucthuchiennhiemvuboithuonghotrotaidinhcu,Chuthe,"{'name': 'đơn vị, tổ chức thực hiện nhiệm vụ bồi thường, hỗ trợ, tái định cư'}",,
chuthe_donvivutranganndan,Chuthe,{'name': 'Đơn vị vũ trang nhân dân'},,
chuthe_donvivutrangnhandan,Chuthe,{'name': 'Đơn vị vũ trang nhân dân'},,
chuthe_donvivutranngnhandan,Chuthe,{'name': 'Đơn vị vũ trang nhân dân'},,
chuthe_giaoviennhanvienyte,Chuthe,"{'name': 'Giáo viên, nhân viên y tế'}",,
chuthe_hdndcapptinh,Chuthe,{'name': 'Hội đồng nhân dân cấp tỉnh'},,
chuthe_hdndcungcap,Chuthe,{'name': 'Hội đồng nhân dân cùng cấp'},,
chuthe_hocangheo,Chuthe,{'name': 'hộ cận nghèo'},,
chuthe_hogheo,Chuthe,{'name': 'hộ nghèo'},,
chuthe_hogiadinh,Chuthe,{'name': 'Hộ gia đình'},,
chuthe_hogiadinh_canhan,Chuthe,"{'name': 'Hộ gia đình, cá nhân'}",,
chuthe_hogiadinhcanhan,Chuthe,"{'name': 'hộ gia đình, cá nhân'}",,
chuthe_hogiadinhcanhantructiepsanxuatnongnghiep,Chuthe,"{'name': 'Hộ gia đình, cá nhân trực tiếp sản xuất nông nghiệp'}",,
chuthe_hogiadinhlietsi,Chuthe,{'name': 'Hộ gia đình liệt sĩ'},,
chuthe_hogiadinhsudungdat,Chuthe,{'name': 'Hộ gia đình sử dụng đất'},,
chuthe_hogiadinhtrongnhachungcu,Chuthe,{'name': 'những hộ gia đình trong nhà chung cư'},,
chuthe_hoidongboithuonghotrotaidinhcu,Chuthe,"{'name': 'Hội đồng bồi thường, hỗ trợ, tái định cư'}",,
chuthe_hoidongboithuonghotrovataidinhcu,Chuthe,"{'name': 'Hội đồng bồi thường, hỗ trợ và tái định cư'}",,
chuthe_hoidongndcaptinh,Chuthe,{'name': 'Hội đồng nhân dân cấp tỉnh'},,
chuthe_hoidongnhandancaccap,Chuthe,{'name': 'Hội đồng nhân dân các cấp'},,
chuthe_hoidongnhandancaptinh,Chuthe,{'name': 'Hội đồng nhân dân cấp tỉnh'},,
chuthe_hoidoongthamdinh,Chuthe,{'name': 'Hội đồng thẩm định'},,
chuthe_hop_tac_xa,Chuthe,{'name': 'Hợp tác xã'},,
chuthe_hoptacxa,Chuthe,{'name': 'Hợp tác xã'},,
chuthe_huyen,Chuthe,{'name': 'huyện'},,
chuthe_kho_bacnhanuoc,Chuthe,{'name': 'Kho bạc nhà nước'},,
chuthe_khubaothue,Chuthe,{'name': 'khu bảo thuế'},,
chuthe_khuchexuat,Chuthe,{'name': 'khu chế xuất'},,
chuthe_khuchucnang,Chuthe,{'name': 'khu chức năng'},,
chuthe_khucongnghiep,Chuthe,{'name': 'khu công nghiệp'},,
chuthe_khudancu,Chuthe,{'name': 'khu dân cư'},,
chuthe_khudothi,Chuthe,{'name': 'khu đô thị'},,
chuthe_khudulich,Chuthe,{'name': 'khu du lịch'},,
chuthe_khugiaitri,Chuthe,{'name': 'khu giải trí'},,
chuthe_khuhanhchinh,Chuthe,{'name': 'khu hành chính'},,
chuthe_khukinhte,Chuthe,{'name': 'Khu kinh tế'},,
chuthe_khukinhtecuakhau,Chuthe,{'name': 'Khu kinh tế cửa khẩu'},,
chuthe_khuphithuequan,Chuthe,{'name': 'khu phi thuế quan'},,
chuthe_lanhdaocacphongbantochuc,Chuthe,"{'name': 'lãnh đạo các phòng ban, tổ chức'}",,
chuthe_lienhiephoptacxa,Chuthe,{'name': 'Liên hiệp hợp tác xã'},,
chuthe_lucluongcongan,Chuthe,{'name': 'Lực lượng công an'},,
chuthe_matrantochocvietnam,Chuthe,{'name': 'Mặt trận Tổ quốc Việt Nam'},,
chuthe_matrantochucvietnam,Chuthe,{'name': 'Mặt trận Tổ quốc Việt Nam'},,
chuthe_mattrotoquocvietnam,Chuthe,{'name': 'Mặt trận Tổ quốc Việt Nam'},,
chuthe_nganh,Chuthe,{'name': 'ngành'},,
chuthe_nganhangchinhsach,Chuthe,{'name': 'ngân hàng chính sách'},,
chuthe_nganhangthuongmai,Chuthe,{'name': 'ngân hàng thương mại do Nhà nước nắm giữ cổ phần chi phối'},,
chuthe_ngansachdia,Chuthe,{'name': 'Ngân sách địa phương'},,
chuthe_ngansachnhanuoc,Chuthe,{'name': 'Ngân sách nhà nước'},,
chuthe_ngansachtrung,Chuthe,{'name': 'Ngân sách trung ương'},,
chuthe_nguoibicuongche,Chuthe,{'name': 'Người bị cưỡng chế'},,
chuthe_nguoic_nhuucausudungdat,Chuthe,{'name': 'người có nhu cầu sử dụng đất'},,
