nodeId:ID,:LABEL,name,ma_dieu,phien_ban,noi_dung
dieu_123_2013,DieuLuat,Điều 123,123.0,2013.0,"Điều 123.

Dịch vụ công điện tử tr ong lĩnh vực đất đai
1. Các dịch vụ công điện tử được thực hiện gồm đăng ký đất đai, tài sản gắn liền với đất; thực hiện các
giao dịch về đất đai và tài sản gắn liền với đất; cung cấp thông tin, dữ liệu về đất đai.
2. Cơ quan quản lý đất đai có trách nhiệm thực hiện các dịch vụ công quy định tại khoản 1 Điều này;
cung cấp các dịch vụ thuận tiện, đơn giản, an toàn cho tổ chức và cá nhân trên môi trường mạng."
khainiem_dichvucongdientu,KhaiNiem,Dịch vụ công điện tử,,,
hanhviphaply_giaodichdatdai,HanhViPhapLy,thực hiện các giao dịch về đất đai và tài sản gắn liền với đất,,,
hanhviphaply_cungcapthongtindatdai,HanhViPhapLy,"cung cấp thông tin, dữ liệu về đất đai",,,
dieu_137_2013,DieuLuat,Điều 137. Đất rừng đặc dụng,137.0,2013.0,"Điều 137.

Đất rừng đặc dụng
1. Nhà nước giao đất rừng đặc dụng cho tổ chức quản lý rừng đặc dụng để quản lý, bảo vệ theo quy
hoạch, kế hoạch sử dụng đất đã được cơ quan nhà nước có thẩm quyền phê duyệt, được kết hợp sử
dụng đất vào mục đích khác theo quy định của pháp luật về bảo vệ và phát triển rừng.
2. Tổ chức quản lý rừng đặc dụng giao khoán ngắn hạn đất rừng đặc dụng trong phân khu bảo vệ
nghiêm ngặt cho hộ gia đình, cá nhân chưa có điều kiện chuyển ra khỏi khu vực đó để bảo vệ rừng.
3. Tổ chức quản lý rừng đặc dụng giao khoán đất rừng đặc dụng thuộc phân khu phục hồi sinh thái cho
hộ gia đình, cá nhân sinh sống ổn định tại khu vực đó để bảo vệ và phát triển rừng.
4. Ủy ban nhân dân cấp có thẩm quyền quyết định giao đất, cho thuê đất vùng đệm của rừng đặc dụng
đối với tổ chức, hộ gia đình, cá nhân để sử dụng vào mục đích sản xuất, nghiên cứu, thí nghiệm về lâm
nghiệp hoặc kết hợp quốc phòng, an ninh theo quy hoạch phát triển rừng của vùng đệm và được kết
hợp sử dụng đất vào mục đích khác theo quy định của pháp luật về bảo vệ và phát triển rừng.
5. Ủy ban nhân dân cấp tỉnh quyết định cho tổ chức kinh tế thuê đất rừng đặc dụng thuộc khu vực được
kết hợp với kinh doanh cảnh quan, du lịch sinh thái - môi trường dưới tán rừng."
chuthe_tochucquanlyrungdacdung,ChuThe,tổ chức quản lý rừng đặc dụng,,,
chuthe_ubndcapcothamquyen,ChuThe,Ủy ban nhân dân cấp có thẩm quyền,,,
dieu_184_2013,DieuLuat,Điều 184. Quyền và nghĩa vụ của doanh nghiệp liên doanh sử dụng đất do nhận góp vốn bằng quyền sử dụng đất; doanh nghiệp 100% vốn đầu tư nước ngoài được chuyển đổi từ doanh nghiệp liên doanh,184.0,2013.0,"Điều 184.

Quyền và nghĩa vụ của doanh nghiệp liên doanh sử dụng đất do nhận góp vốn bằng
quyền sử dụng đất; doanh nghiệp 100% vốn đầu tư nước ngoài được chuyển đổi từ doanh
nghiệp liên doanh
1. Doanh nghiệp liên doanh giữa tổ chức nước ngoài, cá nhân nước ngoài, người Việt Nam định cư ở
nước ngoài với tổ chức kinh tế mà tổ chức kinh tế góp vốn bằng quyền sử dụng đất thì doanh nghiệp
liên doanh có quyền và nghĩa vụ quy định tại  Điều 174 của Luật này  trong các trường hợp sau đây:
a) Đất của tổ chức kinh tế góp vốn do được Nhà nước giao có thu tiền sử dụng đất, cho thuê đất trả
tiền thuê đất một lần cho cả thời gian thuê mà tiền sử dụng đất, tiền thuê đất đã nộp không có nguồn
gốc từ ngân sách nhà nước;
b) Đất của tổ chức kinh tế góp vốn do nhận chuyển nhượng quyền sử dụng đất không phải là đất thuê
của Nhà nước trả tiền thuê đất hàng năm mà tiền đã trả cho việc nhận chuyển nhượng không có nguồn
gốc từ ngân sách nhà nước. about:blank
. Doanh nghiệp nhà nước được Nhà nước cho thuê đất trước ngày 01 tháng 7 năm 2004 mà được sử
dụng giá trị quyền sử dụng đất như ngân sách nhà nước cấp cho doanh nghiệp, không phải ghi nhận nợ
và không phải hoàn trả tiền thuê đất theo quy định của pháp luật về đất đai để góp vốn liên doanh với
tổ chức nước ngoài, cá nhân nước ngoài thì doanh nghiệp liên doanh có quyền, nghĩa vụ quy định tại
Điều 174 của Luật này . Giá trị quyền sử dụng đất là phần vốn của Nhà nước đóng góp vào doanh
nghiệp liên doanh.
3. Người Việt Nam định cư ở nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất
trả tiền thuê đất một lần cho cả thời gian thuê mà góp vốn bằng quyền sử dụng đất với tư cách là tổ
chức kinh tế trong nước vào liên doanh với tổ chức nước ngoài, cá nhân nước ngoài thì doanh nghiệp
liên doanh có quyền và nghĩa vụ quy định  tại Điều 174 của Luật này .
4. Doanh nghiệp liên doanh mà bên Việt Nam góp vốn bằng quyền sử dụng đất nay chuyển thành doanh
nghiệp có 100% vốn nước ngoài thì có các quyền và nghĩa vụ sau đây:
a) Quyền và nghĩa vụ theo quy định tại  khoản 2 Điều 183 của Luật này  đối với trường hợp quyền sử
dụng đất do nhận góp vốn trước đó không thuộc trường hợp được sử dụng để thực hiện các dự án đầu
tư nhà ở để bán và doanh nghiệp 100% vốn nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất
hàng năm theo quy định tại  khoản 1 Điều 56 của Luật này ;
b) Quyền và nghĩa vụ theo quy định tại  khoản 3 Điều 183 của Luật này  đối với trường hợp quyền sử
dụng đất do nhận góp vốn trước đó không thuộc trường hợp được sử dụng để thực hiện các dự án đầu
tư nhà ở để bán và doanh nghiệp 100% vốn nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất
một lần cho cả thời gian thuê theo quy định tại  khoản 1 Điều 56 của Luật này ;
c) Quyền và nghĩa vụ theo quy định tại  khoản 3 Điều 183 của Luật này  đối với trường hợp quyền sử
dụng đất do nhận góp vốn trước đó được sử dụng để thực hiện các dự án đầu tư nhà ở để bán và doanh
nghiệp 100% vốn nước ngoài được Nhà nước giao đất theo quy định tại  khoản 3 Điều 55 của Luật này ."
chuthe_doanhnghiepliendoanh,ChuThe,Doanh nghiệp liên doanh,,,
dieu_174_2013,DieuLuat,Điều 174 của Luật này,,,
chuthe_doanhnghiep100vonnuocngoai,ChuThe,Doanh nghiệp 100% vốn nước ngoài,,,
dieu_183_2013,DieuLuat,Điều 183 của Luật này,,,
dieu_56_2013,DieuLuat,Điều 56 của Luật này,,,
dieu_55_2013,DieuLuat,Điều 55 của Luật này,,,
dieu_93_2013,DieuLuat,"Điều 93. Chi trả tiền bồi thường, hỗ trợ, tái định cư",93.0,2013.0,"Điều 93.

Chi trả tiền bồi thường, hỗ trợ, tái định cư
1. Trong thời hạn 30 ngày kể từ ngày quyết định thu hồi đất của cơ quan nhà nước có thẩm quyền có
hiệu lực thi hành, cơ quan, tổ chức có trách nhiệm bồi thường phải chi trả tiền bồi thường, hỗ trợ cho
người có đất thu hồi.
2. Trường hợp cơ quan, tổ chức có trách nhiệm bồi thường chậm chi trả thì khi thanh toán tiền bồi
thường, hỗ trợ cho người có đất thu hồi, ngoài tiền bồi thường, hỗ trợ theo phương án bồi thường, hỗ
trợ, tái định cư được cấp có thẩm quyền phê duyệt thì người có đất thu hồi còn được thanh toán thêm
một khoản tiền bằng mức tiền chậm nộp theo quy định của  Luật quản lý thuế  tính trên số tiền chậm trả
và thời gian chậm trả.
3. Trường hợp người có đất thu hồi không nhận tiền bồi thường, hỗ trợ theo phương án bồi thường,
hỗ trợ, tái định cư được cấp có thẩm quyền phê duyệt thì tiền bồi thường, hỗ trợ được gửi vào tài
khoản tạm giữ của Kho bạc nhà nước.
4. Người sử dụng đất được bồi thường khi Nhà nước thu hồi đất mà chưa thực hiện nghĩa vụ tài chính
về đất đai đối với Nhà nước theo quy định của pháp luật thì phải trừ đi khoản tiền chưa thực hiện nghĩa
vụ tài chính vào số tiền được bồi thường để hoàn trả ngân sách nhà nước.
5. Chính phủ quy định chi tiết Điều này ."
hanhviphaply_chitratienboithuong,HanhViPhapLy,Chi trả tiền bồi thường,,,
chuthe_coquantochuccotrachnhiemboithuong,ChuThe,"Cơ quan, tổ chức có trách nhiệm bồi thường",,,
khainiem_phuonganboithuonghotrotataidincu,KhaiNiem,"Phương án bồi thường, hỗ trợ, tái định cư",,,
chuthe_kho_bacnhanuoc,ChuThe,Kho bạc nhà nước,,,
dieu_20_2013,DieuLuat,Điều 20,20.0,2013.0,"Điều 20.

Nhà nước quy định quyền và nghĩa vụ của người sử dụng đất
Nhà nước quy định quyền và nghĩa vụ của người sử dụng đất phù hợp với hình thức giao đất, cho thuê
đất, công nhận quyền sử dụng đất, nguồn gốc sử dụng đất và nghĩa vụ tài chính của người sử dụng đất."
khainiem_nguongocsudungdat,KhaiNiem,nguồn gốc sử dụng đất,,,
dieu_178_2013,DieuLuat,Điều 178. Quyền và nghĩa vụ của tổ chức kinh tế được thuê đất để xây dựng công trình ngầm,178.0,2013.0,"Điều 178.

Quyền và nghĩa vụ của tổ chức kinh tế được thuê đất để xây dựng công trình ngầm
Tổ chức kinh tế được Nhà nước cho thuê đất để đầu tư xây dựng công trình ngầm thì có các quyền và
nghĩa vụ sau đây:
1. Trường hợp thuê đất trả tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ như tổ
chức kinh tế quy định tại các  khoản 1, 2 và 4 Điều 174 của Luật này ;
2. Trường hợp thuê đất trả tiền thuê đất hàng năm thì có quyền và nghĩa vụ như tổ chức kinh tế quy
định tại  khoản 1 Điều 175 của Luật này .
MỤC 3. QUYỀN VÀ NGHĨA  VỤ CỦA  HỘ GIA  ĐÌNH, CÁ NHÂN, CỘNG ĐỒNG DÂN CƯ SỬ
DỤNG ĐẤT"
khainiem_congtrinhngam,KhaiNiem,công trình ngầm,,,
dieu_208_2013,DieuLuat,"Điều 208. Trách nhiệm của Chủ tịch Ủy ban nhân dân các cấp trong việc phát hiện, ngăn chặn và xử lý vi phạm pháp luật về quản lý và sử dụng đất đai",208.0,2013.0,"Điều 208.

Trách nhiệm của Chủ tịch Ủy ban nhân dân các cấp tr ong việc phát hiện, ngăn chặn và
xử lý vi phạm pháp luật về quản lý và sử dụng đất đai
1. Chủ tịch Ủy ban nhân dân các cấp có trách nhiệm phát hiện, ngăn chặn và xử lý kịp thời những vi
phạm pháp luật về quản lý và sử dụng đất đai tại địa phương.
2. Chủ tịch Ủy ban nhân dân cấp xã có trách nhiệm phát hiện, ngăn chặn và xử lý kịp thời việc chuyển
quyền sử dụng đất trái phép, chuyển mục đích sử dụng đất trái phép; phát hiện, áp dụng biện pháp ngăn
chặn và xử lý kịp thời việc xây dựng các công trình trên đất lấn, chiếm, đất sử dụng không đúng mục
đích ở địa phương và buộc người có hành vi vi phạm khôi phục lại tình trạng của đất trước khi vi phạm."
chuthe_chutichuybanndcaccap,ChuThe,Chủ tịch Ủy ban nhân dân các cấp,,,
hanhviphaply_phathiennganchansuly,HanhViPhapLy,"phát hiện, ngăn chặn và xử lý vi phạm pháp luật",,,
khainiem_quanlyvasudungdatdai,KhaiNiem,quản lý và sử dụng đất đai,,,
hanhviphaply_chuyenquyensddtraiphep,HanhViPhapLy,chuyển quyền sử dụng đất trái phép,,,
hanhviphaply_chuyenmucdichsddtraiphep,HanhViPhapLy,chuyển mục đích sử dụng đất trái phép,,,
hanhviphaply_xaydungcongtrinhtrendatlan,HanhViPhapLy,"xây dựng các công trình trên đất lấn, chiếm, đất sử dụng không đúng mục đích",,,
hanhviphaply_khoiphuctinhtrangdat,HanhViPhapLy,khôi phục lại tình trạng của đất trước khi vi phạm,,,
dieu_34_2013,DieuLuat,"Điều 34. Thống kê, kiểm kê đất đai, lập bản đồ hiện trạng sử dụng đất",34.0,2013.0,"Điều 34.

Thống kê, kiểm kê đất đai, lập bản đồ hiện trạng sử dụng đất
1. Thống kê, kiểm kê đất đai bao gồm thống kê, kiểm kê đất đai theo định kỳ và kiểm kê đất đai theo
chuyên đề.
2. Thống kê, kiểm kê đất đai định kỳ được thực hiện theo quy định sau đây:
a) Thống kê, kiểm kê đất đai được thực hiện theo đơn vị hành chính xã, phường, thị trấn;
b) Việc thống kê đất đai được tiến hành mỗi năm một lần, trừ năm thực hiện kiểm kê đất đai;
c) Việc kiểm kê đất đai được tiến hành 05 năm một lần.
3. Bản đồ hiện trạng sử dụng đất được lập 05 năm một lần gắn với việc kiểm kê đất đai quy định tại
khoản 2 Điều này .
4. Việc kiểm kê đất đai chuyên đề để phục vụ yêu cầu quản lý nhà nước thực hiện theo quyết định của
Thủ tướng Chính phủ, Bộ trưởng Bộ Tài nguyên và Môi trường.
5. Trách nhiệm thực hiện việc thống kê, kiểm kê đất đai, lập bản đồ hiện trạng sử dụng đất được quy
định như sau:
a) Ủy ban nhân dân các cấp tổ chức thực hiện việc thống kê, kiểm kê đất đai, lập bản đồ hiện trạng sử
dụng đất của địa phương;
b) Ủy ban nhân dân cấp xã, cấp huyện báo cáo Ủy ban nhân dân cấp trên trực tiếp; Ủy ban nhân dân
cấp tỉnh báo cáo Bộ Tài nguyên và Môi trường về kết quả thống kê, kiểm kê đất đai, lập bản đồ hiện
trạng sử dụng đất của địa phương;
c) Bộ Quốc phòng, Bộ Công an có trách nhiệm chủ trì, phối hợp với Ủy ban nhân dân cấp tỉnh thực
hiện thống kê, kiểm kê đất quốc phòng, an ninh và gửi báo cáo kết quả về Bộ Tài nguyên và Môi
trường;
d) Bộ Tài nguyên và Môi trường tổng hợp báo cáo Thủ tướng Chính phủ và công bố kết quả thống kê
đất đai hàng năm, kết quả kiểm kê đất đai 05 năm của cả nước.
6. Bộ trưởng Bộ Tài nguyên và Môi trường quy định chi tiết việc thống kê, kiểm kê đất đai, lập bản đồ
hiện trạng sử dụng đất."
khainiem_bandohientrangsudungdat,KhaiNiem,Bản đồ hiện trạng sử dụng đất,,,
chuthe_thutuongcp,ChuThe,Thủ tướng Chính phủ,,,
dieu_102_2013,DieuLuat,"Điều 102. Cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền
với đất cho tổ chức, cơ sở tôn giáo đang sử dụng đất",102.0,2013.0,"Điều 102.

Cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền
với đất cho tổ chức, cơ sở tôn giáo đang sử dụng đất
1. Tổ chức đang sử dụng đất được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài
sản khác gắn liền với đất đối với phần diện tích đất sử dụng đúng mục đích.
2. Phần diện tích đất mà tổ chức đang sử dụng nhưng không được cấp Giấy chứng nhận quyền sử dụng
đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được giải quyết như sau:
a) Nhà nước thu hồi phần diện tích đất không sử dụng, sử dụng không đúng mục đích, cho mượn, cho
thuê trái pháp luật, diện tích đất để bị lấn, bị chiếm;
b) Tổ chức phải bàn giao phần diện tích đã sử dụng làm đất ở cho Ủy ban nhân dân cấp huyện để quản
lý; trường hợp đất ở phù hợp với quy hoạch sử dụng đất đã được cơ quan nhà nước có thẩm quyền
phê duyệt thì người sử dụng đất ở được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở
và tài sản khác gắn liền với đất; trường hợp doanh nghiệp nhà nước sản xuất nông nghiệp, lâm nghiệp,
nuôi trồng thủy sản, làm muối đã được Nhà nước giao đất mà doanh nghiệp đó cho hộ gia đình, cá
nhân sử dụng một phần quỹ đất làm đất ở trước ngày 01 tháng 7 năm 2004 thì phải lập phương án bố
trí lại diện tích đất ở thành khu dân cư trình Ủy ban nhân dân cấp tỉnh nơi có đất phê duyệt trước khi
bàn giao cho địa phương quản lý.
3. Đối với tổ chức đang sử dụng đất thuộc trường hợp Nhà nước cho thuê đất quy định tại  Điều 56 của
Luật này  thì cơ quan quản lý đất đai cấp tỉnh làm thủ tục ký hợp đồng thuê đất trước khi cấp Giấy
chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất. about:blank
. Cơ sở tôn giáo đang sử dụng đất được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà
ở và tài sản khác gắn liền với đất khi có đủ các điều kiện sau đây:
a) Được Nhà nước cho phép hoạt động;
b) Không có tranh chấp;
c) Không phải là đất nhận chuyển nhượng, nhận tặng cho sau ngày 01 tháng 7 năm 2004.
5. Chính phủ quy định chi tiết Điều này ."
chuthe_cosotongiao,ChuThe,Cơ sở tôn giáo,,,
dieukien_khongnhanchuyennhuong,DieuKien,"Không phải là đất nhận chuyển nhượng, nhận tặng cho sau ngày 01 tháng 7 năm 2004",,,
dieukien_duocnhanuocchophep,DieuKien,Được Nhà nước cho phép hoạt động,,,
dieu_87_2013,DieuLuat,Điều 87,87.0,2013.0,"Điều 87.

Bồi thường, hỗ trợ, tái định cư đối với các trường hợp đặc biệt about:blank
. Đối với dự án đầu tư do Quốc hội quyết định chủ trương đầu tư, Thủ tướng Chính phủ chấp thuận
chủ trương đầu tư mà phải di chuyển cả cộng đồng dân cư, làm ảnh hưởng đến toàn bộ đời sống, kinh
tế - xã hội, truyền thống văn hóa của cộng đồng, các dự án thu hồi đất liên quan đến nhiều tỉnh, thành
phố trực thuộc trung ương thì Thủ tướng Chính phủ quyết định khung chính sách bồi thường, hỗ trợ,
tái định cư.
2. Đối với dự án sử dụng vốn vay của các tổ chức quốc tế, nước ngoài mà Nhà nước Việt Nam có cam
kết về khung chính sách bồi thường, hỗ trợ, tái định cư thì thực hiện theo khung chính sách đó.
3. Đối với trường hợp thu hồi quy định tại  điểm đ và điểm e khoản 1 Điều 65 của Luật này  thì người có
đất thu hồi được bồi thường, hỗ trợ, tái định cư để ổn định đời sống, sản xuất theo quy định của Chính
phủ.
MỤC 3. BỒI THƯỜNG THIỆT  HẠI VỀ TÀI SẢN, VỀ SẢN XUẤT , KINH DOANH"
chuthe_nhanuocvietnam,ChuThe,Nhà nước Việt Nam,,,
dieu_18_2013,DieuLuat,Điều 18. Nhà nước quyết định giá đất,18.0,2013.0,"Điều 18.

Nhà nước quyết định giá đất
1. Nhà nước quy định nguyên tắc, phương pháp định giá đất.
2. Nhà nước ban hành khung giá đất, bảng giá đất và quyết định giá đất cụ thể."
hanhviphaply_quyetdinhgiadat,HanhViPhapLy,Quyết định giá đất,,,
hanhviphaply_quydinhnguyentacphuongphap,HanhViPhapLy,"Quy định nguyên tắc, phương pháp định giá đất",,,
hanhviphaply_banhanhkhunggiadat,HanhViPhapLy,"Ban hành khung giá đất, bảng giá đất",,,
khainiem_khunggiadat,KhaiNiem,Khung giá đất,,,
dieu_154_2013,DieuLuat,"Điều 154. Đất sản xuất vật liệu xây dựng, làm đồ gốm",154.0,2013.0,"Điều 154.

Đất sản xuất vật liệu xây dựng, làm đồ gốm
1. Đất sản xuất vật liệu xây dựng, làm đồ gốm bao gồm đất, đất có mặt nước để khai thác nguyên liệu
và đất làm mặt bằng để chế biến, sản xuất vật liệu xây dựng, làm đồ gốm.
Việc sử dụng đất để khai thác nguyên liệu cho sản xuất gạch ngói, làm đồ gốm phải tận dụng các loại
đất đồi, gò không canh tác, đất bãi hoang, đất lòng sông hoặc ao, hồ cần khơi sâu, đất ven sông ngòi
không sản xuất nông nghiệp, đất đê bối không còn sử dụng, đất do cải tạo đồng ruộng.
2. Đất, đất có mặt nước để khai thác nguyên liệu được Nhà nước cho thuê đối với hộ gia đình, cá nhân
được phép khai thác nguyên liệu để sản xuất vật liệu xây dựng, làm đồ gốm; đối với tổ chức kinh tế,
người Việt Nam định cư ở nước ngoài, doanh nghiệp có vốn đầu tư nước ngoài được phép thực hiện dự
án đầu tư khai thác nguyên liệu để sản xuất vật liệu xây dựng, làm đồ gốm.
Đất để làm mặt bằng sản xuất vật liệu xây dựng, làm đồ gốm thuộc loại đất sản xuất, kinh doanh phi
nông nghiệp có chế độ sử dụng đất như đất thương mại, dịch vụ, đất cơ sở sản xuất phi nông nghiệp
quy định tại Điều 153 của Luật này .
3. Việc sử dụng đất để sản xuất vật liệu xây dựng, làm đồ gốm phải tuân theo các quy định sau đây:
a) Có quyết định cho thuê đất vào mục đích khai thác nguyên liệu, chế biến, sản xuất vật liệu xây dựng,
làm đồ gốm của cơ quan nhà nước có thẩm quyền;
b) Thực hiện các biện pháp cần thiết để không gây thiệt hại cho sản xuất, đời sống và ảnh hưởng xấu
đến môi trường, dòng chảy , giao thông;
c) Người sử dụng đất có trách nhiệm trả lại đất đúng với tiến độ khai thác nguyên liệu và trạng thái mặt
đất được quy định trong hợp đồng thuê đất.
4. Nghiêm cấm sử dụng những loại đất sau đây để khai thác làm nguyên liệu cho sản xuất gạch ngói,
làm đồ gốm: about:blank
a) Đất có di tích lịch sử - văn hóa, danh lam thắng cảnh đã được xếp hạng hoặc được Ủy ban nhân dân
tỉnh, thành phố trực thuộc trung ương quyết định bảo vệ;
b) Đất nằm trong phạm vi hành lang bảo vệ an toàn công trình.
5. Trong quá trình sử dụng đất để khai thác nguyên liệu cho sản xuất gạch ngói, làm đồ gốm, người sử
dụng đất phải áp dụng các biện pháp công nghệ thích hợp để khai thác, sử dụng đất hợp lý, tiết kiệm;
phải thực hiện các biện pháp cần thiết để không gây thiệt hại cho sản xuất, đời sống của những người
sử dụng đất xung quanh và không ảnh hưởng xấu đến môi trường."
khainiem_datsanxuatvatlieuxaydunglamdogom,KhaiNiem,"Đất sản xuất vật liệu xây dựng, làm đồ gốm",,,
chuthe_nguoivietnamdincuonuocngoai,ChuThe,Người Việt Nam định cư ở nước ngoài,,,
hanhviphaply_khaitacnguyenlieu,HanhViPhapLy,Khai thác nguyên liệu,,,
dieukien_quyetdinhchothuedat,DieuKien,Có quyết định cho thuê đất,,,
dieukien_thuchiencacbienphap,DieuKien,Thực hiện các biện pháp cần thiết để không gây thiệt hại,,,
dieukien_nguoisudungdattralai,DieuKien,Người sử dụng đất có trách nhiệm trả lại đất,,,
