id,label,name
dieukien_baodamquocphonganminh,DieuKien,"Bảo đảm quốc phòng, an ninh, bảo vệ môi trường, phát triển bền vững, bảo vệ di tích lịch sử - văn hóa, danh lam thắng cảnh"
hanhviphaply_baodamtuantu,HanhViPhapLy,Bảo đảm việc tuân thủ đạo đức nghề nghiệp của các định giá viên
chuthe_benhbinh,ChuThe,Bệnh binh
hanhviphaply_bốtritáidinhcu,HanhViPhapLy,Bố trí tái định cư
hanhviphaply_botridiadiemmoi,HanhViPhapLy,Bố trí địa điểm mới
chetai_boithuong,CheTai,bồi thường
hanhviphaply_boithuong,HanhViPhapLy,Bồi thường
khainiem_boithuong,KhaiNiem,Bồi thường
khainiem_boiduongchiphi,KhaiNiem,Bồi thường chi phí đầu tư vào đất còn lại
chetai_boithuongthiethai,CheTai,bồi thường theo mức thiệt hại thực tế
dieukien_boithuong,DieuKien,Bồi thường theo quy định của pháp luật đối với trường hợp gây thiệt hại đến việc sử dụng đất của người sử dụng đất trên bề mặt của công trình ngầm
hanhviphaply_boithuongthiethai,HanhViPhapLy,Bồi thường thiệt hại
khainiem_boithuongthiethai,KhaiNiem,Bồi thường thiệt hại
hanhviphaply_boithuongtaisan,HanhViPhapLy,bồi thường tài sản gắn liền với đất
hanhviphaply_boithuongvedat,HanhViPhapLy,Bồi thường về đất
khainiem_boiduongvedat,KhaiNiem,Bồi thường về đất
khainiem_bồi thườngvềđất,KhaiNiem,Bồi thường về đất
khainiem_boithuongvedat,KhaiNiem,Bồi thường về đất
hanhviphaply_boithuonghotrotaidinhcu,HanhViPhapLy,"Bồi thường, hỗ trợ, tái định cư"
khainiem_boiduonghotrotaidinhcu,KhaiNiem,"Bồi thường, hỗ trợ, tái định cư"
chuthe_bocongan,ChuThe,Bộ Công an
chuthe_bonoivu,ChuThe,Bộ Nội vụ
chuthe_boquocphong,ChuThe,Bộ Quốc phòng
chuthe_botruongbocongan,ChuThe,Bộ trưởng Bộ Công an
chuthe_bo_truong_bo_cong_an,ChuThe,Bộ trưởng Bộ Công an
chuthe_botruongbocongthuong,ChuThe,Bộ trưởng Bộ Công Thương
chuthe_bo_truong_bo_congthuong,ChuThe,Bộ trưởng Bộ Công Thương
chuthe_botruongbogiaothongvantai,ChuThe,Bộ trưởng Bộ Giao thông vận tải
chuthe_bo_truong_bo_giaothongvantai,ChuThe,Bộ trưởng Bộ Giao thông vận tải
chuthe_botruongbonongnghiepvaphattriennongthon,ChuThe,Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn
chuthe_bo_truong_bo_nongnghiepvaphattriennongthon,ChuThe,Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn
chuthe_botruongbonoivu,ChuThe,Bộ trưởng Bộ Nội vụ
chuthe_botruongboquocphong,ChuThe,Bộ trưởng Bộ Quốc phòng
chuthe_bo_truong_bo_quoc_phong,ChuThe,Bộ trưởng Bộ Quốc phòng
chuthe_botruongbotainh,ChuThe,Bộ trưởng Bộ Tài chính
chuthe_botruongbotaichinh,ChuThe,Bộ trưởng Bộ Tài chính
chuthe_bothutruongbotainguyenmoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainuyenvamoi,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotnmt,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainguon,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainguonvamoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainguyenvamt,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainuyenvamoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotnvmt,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotnguyenvamoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainnguyenvamoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
khainiem_botruongbotainuyenvmt,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongbotainuyenmoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_bo_truong_bo_tainguyenvmoitruong,ChuThe,Bộ trưởng Bộ Tài nguyên và Môi trường
chuthe_botruongboyte,ChuThe,Bộ trưởng Bộ Y tế
chuthe_bo_truong_bo_yte,ChuThe,Bộ trưởng Bộ Y tế
chuthe_botainguyenmoitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botnmt,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botainguyenvamoitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botainguyenvamientruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botainnguyenvamoitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_bothonguyenmoitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botainguyenvamotruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botnguyenvamoitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botainguyenvmoitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_botainguyenvamitruong,ChuThe,Bộ Tài nguyên và Môi trường
chuthe_bo,ChuThe,"Bộ, cơ quan ngang Bộ"
chuthe_bocoquanngangbo,ChuThe,"Bộ, cơ quan ngang bộ"
"chuthe_bo,nganh",ChuThe,"Bộ, ngành"
chuthe_bonganh,ChuThe,"Bộ, ngành"
khainiem_chiphicaitaododat,KhaiNiem,"Chi phí cải tạo làm tăng độ màu mỡ của đất, thau chua rửa mặn, chống xói mòn, xâm thực đối với đất sử dụng vào mục đích sản xuất nông nghiệp"
khainiem_chiphigiacokhanangchiuluc,KhaiNiem,"Chi phí gia cố khả năng chịu lực chống rung, sụt lún đất đối với đất làm mặt bằng sản xuất, kinh doanh"
khainiem_chiphikhaclienquan,KhaiNiem,Chi phí khác có liên quan đã đầu tư vào đất phù hợp với mục đích sử dụng đất
khainiem_chiphisanlapmatbang,KhaiNiem,Chi phí san lấp mặt bằng
khainiem_chidautuvaodat,KhaiNiem,Chi phí đầu tư vào đất
khainiem_chiphidautuvaodatconlai,KhaiNiem,Chi phí đầu tư vào đất còn lại
khainiem_chiphithaodo,KhaiNiem,"chi phí để tháo dỡ, di chuyển, lắp đặt"
hanhviphaply_chitratienboithuong,HanhViPhapLy,Chi trả tiền bồi thường
hanhviphaply_chiemdat,HanhViPhapLy,Chiếm đất
khainiem_chienluocphattrienkinhtexahoi,KhaiNiem,Chiến lược phát triển kinh tế - xã hội
khainiem_chienluocphattriennganhlinhvuc,KhaiNiem,"Chiến lược phát triển ngành, lĩnh vực"
khainiem_chieu sángdothi,KhaiNiem,chiếu sáng đô thị
hanhviphaply_chopheptrinhmucdichsudungdat,HanhViPhapLy,Cho phép chuyển mục đích sử dụng đất
hanhviphaply_chophhepchuyenmucdichsudungdat,HanhViPhapLy,cho phép chuyển mục đích sử dụng đất
hanhviphaply_chothue,HanhViPhapLy,cho thuê
khainiem_chothue,KhaiNiem,Cho thuê
hanhviphaply_chothuelaithue,HanhViPhapLy,cho thuê lại
hanhviphaply_chothuelaithừa,HanhViPhapLy,cho thuê lại
hanhviphaply_chothuelaidsd,HanhViPhapLy,Cho thuê lại quyền sử dụng đất
hanhviphaply_chothuelaisudungdat,HanhViPhapLy,Cho thuê lại quyền sử dụng đất
hanhviphaply_chothuelaiquyensudungdat,HanhViPhapLy,Cho thuê lại quyền sử dụng đất
hanhviphaply_chothuelaiquyen,HanhViPhapLy,"Cho thuê lại quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất"
hanhviphaply_chothuelaidat,HanhViPhapLy,Cho thuê lại đất
hanhviphaply_chothuequyensudungdat,HanhViPhapLy,Cho thuê quyền sử dụng đất
hanhviphaply_chothuequyen,HanhViPhapLy,"Cho thuê quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất"
hanhviphaply_chothuerung,HanhViPhapLy,Cho thuê rừng
hanhviphaply_chothuets,HanhViPhapLy,Cho thuê tài sản
hanhviphaply_chothuedat,HanhViPhapLy,cho thuê đất
khainiem_chothuedat,KhaiNiem,Cho thuê đất
chuthe_chuyengia,ChuThe,chuyên gia
dieukien_chuyendichlaodong,DieuKien,"Chuyển dịch lực lượng lao động, cơ cấu kinh tế; quá trình đô thị hóa"
hanhviphaply_chuyenhinhthucsd,HanhViPhapLy,chuyển hình thức sử dụng đất
hanhviphaply_chuyenhosodentochucdangky,HanhViPhapLy,Chuyển hồ sơ đến tổ chức đăng ký đất đai
hanhviphaply_chuyenmucdichsudungrung,HanhViPhapLy,Chuyển mục đích sử dụng rừng
hanhviphaply_chuyenmucdichsudungrungtunhien,HanhViPhapLy,Chuyển mục đích sử dụng rừng tự nhiên
hanhviphaply_chuyenmucdichsudungdat,HanhViPhapLy,chuyển mục đích sử dụng đất
hanhviphaply_chuyenmucdichsd,HanhViPhapLy,chuyển mục đích sử dụng đất
hanhviphaply_chuyenmucdich,HanhViPhapLy,chuyển mục đích sử dụng đất
hanhviphaply_chuyenmucdich_sudungdat,HanhViPhapLy,chuyển mục đích sử dụng đất
khainiem_chuyenmucdichsudungdat,HanhViPhapLy,chuyển mục đích sử dụng đất
hanhviphaply_chuyenmucdichsddtraiphep,HanhViPhapLy,chuyển mục đích sử dụng đất trái phép
hanhviphaply_chuyennhuong,HanhViPhapLy,chuyển nhượng
hanhviphaply_chuyennhuongbatdongsan,HanhViPhapLy,Chuyển nhượng bất động sản
hanhviphaply_chuyennhuongduan,HanhViPhapLy,chuyển nhượng dự án có sử dụng đất
hanhviphaply_chuyennhuongquyen,HanhViPhapLy,chuyển nhượng quyền sử dụng đất
hanhviphaply_chuyennhuongquyensudungdat,HanhViPhapLy,Chuyển nhượng quyền sử dụng đất
hanhviphaply_chuyennhuongdat,HanhViPhapLy,chuyển nhượng quyền sử dụng đất
hanhviphaply_chuyennhuongquysudungdat,HanhViPhapLy,chuyển nhượng quyền sử dụng đất
khainiem_chuyennhuongquyensudungdat,KhaiNiem,Chuyển nhượng quyền sử dụng đất
hanhviphaply_chuyenquyen,HanhViPhapLy,Chuyển quyền sử dụng đất
khainiem_chuyenquyensudungdat,KhaiNiem,Chuyển quyền sử dụng đất
hanhviphaply_chuyenquyensddtraiphep,HanhViPhapLy,chuyển quyền sử dụng đất trái phép
khainiem_chuyenquyen,HanhViPhapLy,Chuyển quyền sử dụng đất ở
hanhviphaply_chuyensanghinhthucthuedat,HanhViPhapLy,Chuyển sang hình thức thuê đất
hanhviphaply_chuyensangthuedat,HanhViPhapLy,chuyển sang thuê đất
hanhvi_chuesangthuedat,HanhViPhapLy,Chuyển sang thuê đất
hanhviphaply_chuyensangthuedatthutienthuedathangnam,HanhViPhapLy,Chuyển sang thuê đất thu tiền thuê đất hằng năm
hanhviphaply_chuyensangthuedattratienthuedatmotlan,HanhViPhapLy,Chuyển sang thuê đất trả tiền thuê đất một lần
hanhviphaply_chuyendoidat,HanhViPhapLy,chuyển đất trồng lúa sang sử dụng vào mục đích phi nông nghiệp
hanhviphaply_chuyenmucdichsudung,HanhViPhapLy,chuyển đất trồng lúa sang sử dụng vào mục đích phi nông nghiệp
hanhviphaply_chuyendoosangsanxuatkinhdoanh,HanhViPhapLy,"Chuyển đất ở sang đất xây dựng cơ sở sản xuất, kinh doanh"
hanhviphaply_chuyendatsangdatsanxuatkinhdoanh,HanhViPhapLy,"chuyển đất ở sang đất xây dựng cơ sở sản xuất, kinh doanh"
hanhviphaply_chuyendoi,HanhViPhapLy,chuyển đổi
hanhviphaply_chuyendoiquyensudungdatnongnghiep,HanhViPhapLy,chuyển đổi quyền sử dụng đất nông nghiệp
hanhviphaply_chuyendoiquyensudungdat,HanhViPhapLy,"Chuyển đổi quyền sử dụng đất nông nghiệp theo phương án dồn điền, đổi thửa"
khainiem_chuyendoiso,KhaiNiem,chuyển đổi số
hanhviphaply_chuyennhanquyensddkhongdung,HanhViPhapLy,"chuyển, nhận quyền sử dụng đất không đúng pháp luật"
chuthe_chinhphu,ChuThe,Chính phủ
chuthe_chinphu,ChuThe,Chính phủ
khainiem_chinhphuso,KhaiNiem,Chính phủ số
khainiem_chinhphudientu,KhaiNiem,Chính phủ điện tử
chuthe_chinhquyen địa phương,ChuThe,Chính quyền địa phương
khainiem_chinhsachhotro,KhaiNiem,Chính sách hỗ trợ
khainiem_chinhsachhotrodatdai,KhaiNiem,chính sách hỗ trợ đất đai
khainiem_chinhsachthue,KhaiNiem,Chính sách thuế
khainiem_chinhsachtaichinhvedatdai,KhaiNiem,Chính sách tài chính về đất đai
chuthe_chua,ChuThe,chùa
khainiem_chua,KhaiNiem,chùa
hanhviphaply_chamdutquyen,HanhViPhapLy,Chấm dứt quyền đối với thửa đất liền kề
khainiem_chamdutviecsudungdat,KhaiNiem,chấm dứt việc sử dụng đất
dieukien_chamdutviecsudungdat,DieuKien,Chấm dứt việc sử dụng đất theo pháp luật
dieukien_chamdutviecsudungdattheophapluat,DieuKien,chấm dứt việc sử dụng đất theo pháp luật
hanhviphaply_chaphanphapluatvedatdai,HanhViPhapLy,Chấp hành pháp luật về đất đai
hanhviphaply_chophanhquyetdinhthuhoi,HanhViPhapLy,Chấp hành quyết định thu hồi đất
hanhviphaply_chaphanhquyetdinhthuhoidat,HanhViPhapLy,Chấp hành quyết định thu hồi đất
hanhviphaply_chaphanhquydinh,HanhViPhapLy,Chấp hành đúng các quy định
khainiem_chatluongdat,KhaiNiem,Chất lượng đất
hanhviphaply_chedoquanlyviecxaydungphanmo,HanhViPhapLy,"chế độ quản lý việc xây dựng phần mộ, tượng đài, bia tưởng niệm trong nghĩa trang, nghĩa địa"
khainiem_chedoquanly,KhaiNiem,chế độ quản lý và sử dụng đất đai
khainiem_chedoquanlyvasudung,KhaiNiem,chế độ quản lý và sử dụng đất đai
khainiem_chedosohuu,KhaiNiem,chế độ sở hữu đất đai
khainiem_chitieuSudungdat,KhaiNiem,Chỉ tiêu sử dụng đất
khainiem_chitieuthongkekiemkedatdai,KhaiNiem,"Chỉ tiêu thống kê, kiểm kê đất đai"
hanhviphaply_chidao,HanhViPhapLy,Chỉ đạo
hanhviphaply_chidaovielaphosodiachinh,HanhViPhapLy,chỉ đạo việc lập hồ sơ địa chính
hanhviphaply_chidaohuongdankiemtra,HanhViPhapLy,"chỉ đạo, hướng dẫn, kiểm tra"
hanhviphaply_chinhlybando,HanhViPhapLy,Chỉnh lý bản đồ địa chính
khainiem_chinhtrangdothikhudancunongthon,KhaiNiem,"chỉnh trang đô thị, khu dân cư nông thôn"
hanhviphaply_chiusuthanhtrakiemtra,HanhViPhapLy,"Chịu sự thanh tra, kiểm tra của cơ quan nhà nước có thẩm quyền"
hanhviphaply_chiutrachnhiemchuyenmon,HanhViPhapLy,"Chịu trách nhiệm về chuyên môn trong tư vấn xác định giá đất, tư vấn thẩm định giá đất"
khainiem_cho,KhaiNiem,chợ
chuthe_chuhogiadinh,ChuThe,Chủ hộ gia đình
chuthe_churung,ChuThe,Chủ rừng
chuthe_chusohuu,ChuThe,Chủ sở hữu
chuthe_chuso huu,ChuThe,Chủ sở hữu
chuthe_chusohuutaisan,ChuThe,Chủ sở hữu tài sản gắn liền với đất
chuthe_chusohuutaisanganlienvoidat,ChuThe,chủ sở hữu tài sản gắn liền với đất
chuthe_chusohuutaisangganlienvoidat,ChuThe,Chủ sở hữu tài sản gắn liền với đất
chuthe_chunhasohuu,ChuThe,Chủ sở hữu tài sản gắn liền với đất
chuthe_chusohuutaisanganlienvoiđattrungdung,ChuThe,Chủ sở hữu tài sản gắn liền với đất trưng dụng
khainiem_chutruongdautu,KhaiNiem,Chủ trương đầu tư
chuthe_chutichubndcaccap,ChuThe,Chủ tịch Ủy ban nhân dân các cấp
chuthe_chutichuybanndcaccap,ChuThe,Chủ tịch Ủy ban nhân dân các cấp
chuthe_chutichubndancungcap,ChuThe,Chủ tịch Ủy ban nhân dân cùng cấp
chuthe_chutichubndcaphuyen,ChuThe,Chủ tịch Ủy ban nhân dân cấp huyện
chuthe_chutichuybanndcaphuyen,ChuThe,Chủ tịch Ủy ban nhân dân cấp huyện
chuthe_chutichhuyen,ChuThe,Chủ tịch Ủy ban nhân dân cấp huyện
chuthe_chutichuybannhandancaphuyen,ChuThe,Chủ tịch Ủy ban nhân dân cấp huyện
chuthe_chutich_ubnd_caphuyen,ChuThe,Chủ tịch Ủy ban nhân dân cấp huyện
chuthe_chutichubndcapptinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chutichubndcaptinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chutichuybanndcaptinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chu tichubndcaptinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chutichtinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chu tịchubndcaptinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chutich_ubnd_captinh,ChuThe,Chủ tịch Ủy ban nhân dân cấp tỉnh
chuthe_chutichubndcapxa,ChuThe,Chủ tịch Ủy ban nhân dân cấp xã
chuthe_chutichuybanndcapxa,ChuThe,Chủ tịch Ủy ban nhân dân cấp xã
chuthe_chutichubndancapxa,ChuThe,Chủ tịch Ủy ban nhân dân cấp xã
chuthe_chutichubndtinh,ChuThe,"Chủ tịch Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương"
chuthe_chutichubndxaphuongthitran,ChuThe,"Chủ tịch Ủy ban nhân dân xã, phường, thị trấn"
chuthe_chuongtrinhdautu,ChuThe,Chủ đầu tư
chuthe_chudautu,ChuThe,chủ đầu tư
chuthe_chudautuxaydungkdcktht,ChuThe,Chủ đầu tư xây dựng kinh doanh kết cấu hạ tầng
hanhviphaply_cungcapdichvucongtructuyenvedatdai,HanhViPhapLy,Cung cấp dịch vụ công trực tuyến về đất đai
hanhviphaply_cungcapdulieu,HanhViPhapLy,cung cấp dữ liệu
hanhviphaply_cungcapthongtin,HanhViPhapLy,cung cấp thông tin
hanhviphaply_cungcapthongtindatdai,HanhViPhapLy,"cung cấp thông tin, dữ liệu về đất đai"
chuthe_canhan,ChuThe,Cá nhân
chuthe_canhancutruhople,ChuThe,Cá nhân cư trú hợp pháp trên địa bàn cấp xã nơi có rừng phòng hộ
chuthe_canhanlanguoidantocthieuso,ChuThe,Cá nhân là người dân tộc thiểu số
chuthe_canhannguoidantoc,ChuThe,Cá nhân là người dân tộc thiểu số
chuthe_canhannguoidantocthieuso,ChuThe,cá nhân là người dân tộc thiểu số
chuthe_canhannuocngoai,ChuThe,Cá nhân nước ngoài
chuthe_canhansudungdat,ChuThe,Cá nhân sử dụng đất
chuthe_canhanthuongtru,ChuThe,Cá nhân thường trú
chuthe_canhannguoivietnamdinhcuonuocngoai,ChuThe,"Cá nhân, người Việt Nam định cư ở nước ngoài"
chuthe_ben tranh chấpđatdai,ChuThe,Các bên tranh chấp đất đai
chuthe_bentranchapdatdai,ChuThe,Các bên tranh chấp đất đai
khainiem_congtrinhphucvucongdong,KhaiNiem,các công trình phục vụ cộng đồng
chuthe_caccosokhaccuatongiao,ChuThe,các cơ sở khác của tôn giáo
khainiem_cacKhoanthungansachtudatdai,KhaiNiem,Các khoản thu ngân sách từ đất đai
khainiem_khoanthutaichinh,KhaiNiem,Các khoản thu tài chính từ đất đai
khainiem_khoanthuthudichvucongvedatdai,KhaiNiem,Các khoản thu từ dịch vụ công về đất đai
dieukien_cokhauquyetdinh,DieuKien,Các trường hợp chuyển mục đích sử dụng đất phải được cơ quan nhà nước có thẩm quyền cho phép
khainiem_dieukienkhongcapgiaychungnhan,DieuKien,Các trường hợp không cấp Giấy chứng nhận quyền sử dụng đất
chuthe_cactochucchinh trixahoi,ChuThe,các tổ chức chính trị - xã hội
chuthe_cacotochucthanhvien,ChuThe,các tổ chức thành viên của Mặt trận
chuthe_tochucthanhvienmattran,ChuThe,Các tổ chức thành viên của Mặt trận
chuthe_cactochucthanhvien,ChuThe,các tổ chức thành viên của Mặt trận
chuthe_tochucxahoikhac,ChuThe,Các tổ chức xã hội khác
khainiem_daochuaconguoi,KhaiNiem,các đảo chưa có người ở
khainiem_doituongkhac,KhaiNiem,Các đối tượng khác
chuthe_doituongkhac,ChuThe,"Các đối tượng khác có liên quan đến việc quản lý, sử dụng đất đai"
chuthe_canbocongchucvienchuc,ChuThe,"Cán bộ, công chức, viên chức"
khainiem_caylaunam,KhaiNiem,cây lâu năm
khainiem_caytrong,KhaiNiem,Cây trồng
chuthe_cochucnangngoaigiao,ChuThe,có chức năng ngoại giao
dieukien_cogiaychungnhan,DieuKien,Có Giấy chứng nhận
dieukien_giaychungnhan,DieuKien,"Có Giấy chứng nhận quyền sử dụng đất hoặc Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở hoặc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất hoặc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất"
dieukien_nguycodetdoatinhmangconnguoi,DieuKien,Có nguy cơ đe dọa tính mạng con người
dieukien_conguycodetoatinhmangconnguoi,DieuKien,có nguy cơ đe dọa tính mạng con người
dieukien_congnhangnghekinhdoanhphuhop,DieuKien,Có ngành nghề kinh doanh phù hợp với dự án đầu tư
dieukien_nhucauti tục,DieuKien,Có nhu cầu tiếp tục sử dụng
dieukien_nangluoctaichinh,DieuKien,Có năng lực tài chính để bảo đảm việc sử dụng đất theo tiến độ của dự án đầu tư
dieukien_conangluoctaichinh,DieuKien,Có năng lực tài chính để thực hiện dự án đầu tư
dieukien_cophuongangopquyen,DieuKien,"Có phương án góp quyền sử dụng đất, điều chỉnh lại đất đai được người sử dụng đất thuộc khu vực dự kiến thực hiện đồng thuận và được Ủy ban nhân dân cấp tỉnh phê duyệt (hoặc Ủy ban nhân dân cấp huyện)"
dieukien_quyhoachchitiet,DieuKien,Có quy hoạch chi tiết hoặc có quy hoạch phân khu tỷ lệ 1/2000 được cơ quan có thẩm quyền phê duyệt
dieukien_quyetdinhchothuedat,DieuKien,Có quyết định cho thuê đất
hanhviphaply_thuchienthamdinhbanggiadat,HanhViPhapLy,"Có trách nhiệm thực hiện tư vấn xác định, thẩm định bảng giá đất, giá đất cụ thể"
dieukien_vanchapthuan,DieuKien,"Có văn bản chấp thuận của cơ quan nhà nước có thẩm quyền đối với tổ chức kinh tế nhận chuyển nhượng, nhận góp vốn, thuê quyền sử dụng đất nông nghiệp để thực hiện dự án"
dieukien_covanbancoquanthamquyen,DieuKien,Có văn bản của cơ quan có thẩm quyền về việc điều chỉnh dự án đầu tư theo quy định của pháp luật mà có thay đổi thời hạn hoạt động của dự án đầu tư
dieukien_covanbandenghidieuchinh,DieuKien,Có văn bản đề nghị điều chỉnh thời hạn sử dụng đất của dự án đầu tư
chuthe_covondautunuocngoai,ChuThe,có vốn đầu tư nước ngoài
dieukien_dieukien,DieuKien,có điều kiện
dieukien_dudieukien,DieuKien,có đủ điều kiện
dieukien_dudieukienboiduong,DieuKien,Có đủ điều kiện được bồi thường quy định tại Điều 75 của Luật này
dieukien_duocboiduong,DieuKien,Có đủ điều kiện được bồi thường quy định tại Điều 95 của Luật này
dieukien_du_dieu_kien_boi_thuong,DieuKien,có đủ điều kiện được bồi thường quy định tại Điều 95 của Luật này
